ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
56,23,Ruapehu.District,12750,12667,27,13,20,23,0,9,2,5,1,0,41,4
56,38,Ōpōtiki.District,9719,9719,0,0,0,0,1,0,0,0,0,0,13,4
56,60,Dunedin.City,131699,131653,10,9,15,12,1,3,1,3,1,0,154,4
56,37,Kawerau.District,7490,7490,0,0,0,0,0,0,0,0,0,0,6,4
56,52,Selwyn.District,65600,65539,8,12,20,21,0,2,5,2,0,0,89,4
56,13,Waikato.District,79900,79796,17,22,26,39,0,4,4,3,1,0,97,4
56,51,Christchurch.City,385499,385329,44,26,43,57,1,6,8,5,3,0,454,4
56,17,Ōtorohanga.District,10500,10500,0,0,0,0,0,0,0,0,0,0,6,4
56,35,Rotorua.District,75100,75098,0,0,0,2,0,0,0,0,0,0,74,4
56,20,New.Plymouth.District,84397,84334,7,13,12,31,3,0,2,1,1,0,98,4
56,15,Hamilton.City,169500,169340,30,33,39,58,0,5,7,8,2,0,190,4
56,11,Thames-Coromandel.District,31499,31402,24,19,25,29,1,3,6,4,2,0,56,4
56,29,Horowhenua.District,35000,34997,1,1,0,1,0,0,1,0,0,0,33,4
56,50,Waimakariri.District,62800,62737,11,16,12,24,0,3,4,1,1,0,79,4
56,2,Lower.Hutt.City,108699,108502,46,37,28,86,1,11,7,5,6,0,156,4
56,6,South.Wairarapa.District,11100,11087,0,4,2,7,0,0,1,0,0,0,9,4
56,21,Stratford.District,9860,9853,3,1,2,1,0,1,0,0,0,0,16,4
56,62,Southland.District,32100,32096,0,0,1,3,0,0,0,0,0,0,30,4
56,7,Tasman.District,54799,54761,13,7,13,5,1,2,2,0,1,0,69,4
56,33,Western.Bay.of.Plenty.District,53900,53879,5,6,7,3,0,1,2,1,0,0,54,4
56,5,Carterton.District,9690,9690,0,0,0,0,0,0,0,0,0,0,11,4
56,58,Central.Otago.District,23100,23074,4,1,6,15,0,0,0,2,1,0,27,4
56,14,Matamata-Piako.District,35999,35976,5,0,8,10,1,0,0,2,1,0,50,4
56,61,Clutha.District,18350,18349,1,0,0,0,0,0,0,0,0,0,16,4
56,30,Kapiti.Coast.District,56000,55991,0,2,1,6,0,0,1,0,0,0,53,4
56,55,Mackenzie.District,5140,5140,0,0,0,0,0,0,0,0,0,0,4,4
56,16,Waipa.District,56199,56119,23,13,24,20,1,4,2,5,1,0,81,4
56,1,Upper.Hutt.City,46000,45800,46,30,47,77,0,11,7,9,7,0,79,4
