ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
56,3,Counties.Manukau,557790,557664,29,20,27,50,0,5,7,3,2,0,552,4
56,13,Capital.and.Coast,316619,316361,59,35,68,96,1,15,9,10,10,0,366,4
56,9,Hawkes.Bay,165359,165216,35,23,39,46,1,8,9,4,4,0,197,4
56,15,Nelson.Marlborough,150280,150138,36,18,35,53,0,9,8,5,3,0,161,4
56,2,Auckland,538840,538687,32,33,36,52,0,10,5,6,3,0,621,4
56,11,MidCentral,178239,178144,14,21,24,36,1,2,6,5,1,1,185,4
56,8,Taranaki,119640,119447,55,31,45,62,0,15,6,8,2,0,173,4
56,0,Northland,178500,178457,8,6,8,21,0,2,3,2,0,0,189,4
56,19,Southern,328230,328078,42,32,24,54,0,6,7,2,3,0,359,4
56,7,Tairawhiti,48964,48810,32,29,36,57,1,8,8,7,4,0,76,4
56,17,Canterbury,562867,562282,134,119,131,201,3,25,31,18,13,0,684,4
56,1,Waitemata,622350,621934,76,74,108,158,0,15,21,19,5,0,695,4
56,12,Hutt.Valley,149269,149122,32,33,31,51,1,7,6,6,1,0,189,4
56,4,Waikato,417126,416738,84,72,100,132,4,16,18,10,3,0,499,4
56,6,Bay.of.Plenty,236819,236585,63,37,54,80,1,10,12,6,3,0,281,4
56,5,Lakes,110039,110022,1,5,2,9,1,0,2,1,0,0,116,4
56,18,South.Canterbury,60025,60007,4,4,3,7,0,3,2,0,1,0,63,4
56,16,West.Coast,32445,32441,1,0,1,2,0,0,0,0,1,0,32,4
56,10,Whanganui,64565,64556,3,0,4,2,0,0,0,1,0,0,68,4
56,14,Wairarapa,44845,44831,4,3,3,4,0,1,1,0,0,0,49,4
57,3,Counties.Manukau,557790,557656,30,23,26,55,0,8,7,4,5,0,600,4
57,1,Waitemata,622350,621920,73,83,107,167,0,14,17,8,9,0,716,4
57,18,South.Canterbury,60025,60007,4,2,4,8,0,0,0,2,1,0,51,4
57,4,Waikato,417126,416716,89,72,109,140,4,22,17,17,8,0,540,4
57,8,Taranaki,119640,119441,49,38,43,69,0,6,12,5,7,0,148,4
57,7,Tairawhiti,48964,48805,29,33,36,61,1,5,8,4,4,0,75,4
57,17,Canterbury,562867,562255,142,121,137,212,3,27,19,17,11,0,699,4
57,9,Hawkes.Bay,165359,165208,36,24,39,52,1,8,7,6,6,0,217,4
57,16,West.Coast,32445,32441,1,0,0,3,0,0,0,0,1,0,41,4
57,0,Northland,178500,178456,9,6,7,22,0,1,0,0,1,0,180,4
57,15,Nelson.Marlborough,150280,150136,31,20,37,56,0,2,7,5,3,0,174,4
57,6,Bay.of.Plenty,236819,236577,60,43,54,85,1,8,11,5,5,0,247,4
57,5,Lakes,110039,110020,3,4,3,9,1,2,0,1,0,0,124,4
57,12,Hutt.Valley,149269,149118,31,27,40,53,1,4,5,11,2,0,195,4
57,10,Whanganui,64565,64555,4,0,3,3,0,1,0,0,1,0,63,4
57,14,Wairarapa,44845,44831,3,3,4,4,0,0,1,1,0,0,51,4
57,11,MidCentral,178239,178142,12,22,26,37,1,2,4,3,1,0,216,4
57,19,Southern,328230,328075,40,33,27,55,0,3,5,4,1,0,356,4
57,13,Capital.and.Coast,316619,316341,65,48,66,99,1,20,14,1,3,0,343,4
57,2,Auckland,538840,538681,33,32,38,56,0,6,5,6,4,0,575,4
