ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
59,51,Christchurch.City,385498,385103,81,87,90,137,2,21,19,19,10,0,476,4
59,20,New.Plymouth.District,84400,84304,27,13,27,29,0,6,7,8,3,0,106,4
59,41,Hastings.District,85000,84966,7,5,6,16,0,4,0,1,1,0,92,4
59,26,Manawatu.District,31700,31700,0,0,0,0,0,0,0,0,0,0,34,4
59,63,Gore.District,12800,12794,2,1,0,3,0,1,0,0,0,0,10,4
59,15,Hamilton.City,169500,169409,19,18,16,38,0,4,4,3,2,0,204,4
59,9,Whangarei.District,96000,95908,21,14,26,31,0,3,6,3,1,0,124,4
59,4,Masterton.District,26800,26796,0,3,0,1,0,0,0,0,0,0,33,4
59,37,Kawerau.District,7490,7490,0,0,0,0,0,0,0,0,0,0,8,4
59,35,Rotorua.District,75099,75015,14,17,16,37,1,1,6,1,1,0,81,4
59,32,Taupo.District,39300,39283,4,5,3,5,0,0,2,0,1,0,38,4
59,61,Clutha.District,18350,18343,1,2,1,3,0,0,0,0,0,0,15,4
59,25,Rangitikei.District,15750,15750,0,0,0,0,0,0,0,0,0,0,6,4
59,55,Mackenzie.District,5140,5140,0,0,0,0,0,0,0,0,0,0,3,4
59,10,Kaipara.District,24100,24099,0,0,0,1,0,0,0,0,0,0,29,4
59,21,Stratford.District,9860,9858,2,0,0,0,0,0,0,0,0,0,7,4
59,56,Waimate.District,8080,8080,0,0,0,0,0,0,0,0,0,0,9,4
59,27,Palmerston.North.City,88300,88243,15,10,14,18,0,3,3,1,1,0,100,4
59,65,Auckland,1642795,1641541,296,209,275,474,5,60,48,39,21,0,1877,4
59,48,Westland.District,8960,8960,0,0,0,0,0,0,0,0,0,0,7,4
59,18,South.Waikato.District,25100,25100,0,0,0,0,0,0,0,0,0,0,23,4
59,2,Lower.Hutt.City,108700,108686,3,4,4,3,0,0,1,1,0,0,131,4
59,31,Waitomo.District,9490,9490,0,0,0,0,0,0,0,0,0,0,10,4
