ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
25,7,Tasman.District,54800,54799,0,0,0,1,0,0,0,0,0,0,67,4
25,33,Western.Bay.of.Plenty.District,53899,53856,8,14,15,6,1,8,11,5,0,1,73,4
25,1,Upper.Hutt.City,46000,45998,0,1,0,1,0,0,0,0,0,0,41,4
25,30,Kapiti.Coast.District,56000,55994,1,1,3,1,0,1,1,0,0,0,57,4
25,19,Central.Hawke's.Bay.District,14850,14850,0,0,0,0,0,0,0,0,0,0,11,4
25,9,Whangarei.District,95999,95925,10,19,23,22,1,10,16,9,7,0,105,4
25,54,Timaru.District,47900,47898,1,1,0,0,0,1,1,0,0,0,49,4
25,35,Rotorua.District,75100,75091,2,2,3,2,0,2,0,1,0,0,79,4
25,47,Grey.District,13750,13750,0,0,0,0,0,0,0,0,0,0,16,4
25,4,Masterton.District,26800,26765,7,6,6,16,0,7,5,2,2,0,30,4
25,6,South.Wairarapa.District,11100,11096,1,0,1,2,0,1,0,0,1,0,15,4
25,53,Ashburton.District,34800,34659,15,22,49,55,0,15,15,21,11,0,76,4
25,51,Christchurch.City,385500,385444,8,13,22,13,0,8,10,10,4,0,394,4
25,16,Waipa.District,56200,56173,4,3,12,8,0,4,3,3,1,0,67,4
25,46,Buller.District,9840,9840,0,0,0,0,0,0,0,0,0,0,9,4
25,15,Hamilton.City,169500,169434,12,16,16,22,0,12,12,5,4,0,163,4
25,25,Rangitikei.District,15750,15750,0,0,0,0,0,0,0,0,0,0,18,4
25,8,Far.North.District,68500,68467,5,5,10,13,0,5,3,8,3,0,83,4
25,56,Waimate.District,8080,8078,1,1,0,0,0,1,1,0,0,0,5,4
25,59,Queenstown-Lakes.District,41700,41668,5,3,12,12,0,5,2,4,1,0,56,4
25,31,Waitomo.District,9490,9490,0,0,0,0,0,0,0,0,0,0,10,4
25,11,Thames-Coromandel.District,31500,31500,0,0,0,0,0,0,0,0,0,0,32,4
25,23,Ruapehu.District,12750,12750,0,0,0,0,0,0,0,0,0,0,10,4
25,64,Invercargill.City,56200,56199,0,0,0,1,0,0,0,0,0,0,60,4
25,24,Whanganui.District,47300,47298,0,0,0,2,0,0,0,0,0,0,44,4
25,65,Auckland,1642795,1641258,218,269,472,578,5,218,202,155,97,2,2056,4
25,39,Gisborne.District,49300,49300,0,0,0,0,0,0,0,0,0,0,38,4
25,21,Stratford.District,9860,9860,0,0,0,0,0,0,0,0,0,0,10,4
25,0,Porirua.City,59100,59098,0,1,0,1,0,0,1,0,0,0,57,4
25,12,Hauraki.District,21000,21000,0,0,0,0,0,0,0,0,0,0,26,4
25,17,Ōtorohanga.District,10500,10499,0,0,1,0,0,0,0,0,0,0,6,4
25,10,Kaipara.District,24100,24100,0,0,0,0,0,0,0,0,0,0,18,4
25,55,Mackenzie.District,5140,5125,0,1,7,7,0,0,0,2,1,0,7,4
25,58,Central.Otago.District,23100,23085,3,0,4,8,0,3,0,1,0,0,25,4
25,27,Palmerston.North.City,88300,88269,7,5,15,4,0,7,2,4,0,0,102,4
25,62,Southland.District,32100,32095,2,1,2,0,0,2,0,0,0,0,32,4
25,60,Dunedin.City,131697,131265,70,74,133,155,3,70,44,38,18,0,237,4
25,14,Matamata-Piako.District,35999,35998,0,0,1,0,1,0,0,0,0,0,42,4
25,32,Taupo.District,39300,39300,0,0,0,0,0,0,0,0,0,0,37,4
25,57,Waitaki.District,23200,23189,4,2,3,2,0,4,1,1,0,0,19,4
25,28,Tararua.District,18650,18650,0,0,0,0,0,0,0,0,0,0,17,4
25,5,Carterton.District,9690,9678,2,1,5,4,0,2,1,1,1,0,20,4
25,63,Gore.District,12800,12800,0,0,0,0,0,0,0,0,0,0,11,4
