"t DHB"
"-10 Hutt.Valley"
"-10 MidCentral"
"-10 Nelson.Marlborough"
"-10 Nelson.Marlborough"
"-10 Nelson.Marlborough"
"-10 Nelson.Marlborough"
"-10 Southern"
"-10 Southern"
"-10 Southern"
"-10 Waikato"
"-10 Waitemata"
"-10 Waitemata"
"-10 Waitemata"
"-10 Waitemata"
"-10 West.Coast"
"-11 Auckland"
"-11 Auckland"
"-11 Auckland"
"-11 Auckland"
"-11 Canterbury"
"-11 Canterbury"
"-11 Canterbury"
"-11 Canterbury"
"-11 Canterbury"
"-11 Canterbury"
"-11 Capital.and.Coast"
"-11 Capital.and.Coast"
"-11 Capital.and.Coast"
"-11 Counties.Manukau"
"-11 MidCentral"
"-11 Nelson.Marlborough"
"-11 Nelson.Marlborough"
"-11 Southern"
"-11 Waikato"
"-11 Waikato"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-11 Waitemata"
"-12 Auckland"
"-12 Auckland"
"-12 Auckland"
"-12 Bay.of.Plenty"
"-12 Canterbury"
"-12 Canterbury"
"-12 Canterbury"
"-12 Canterbury"
"-12 Canterbury"
"-12 Capital.and.Coast"
"-12 Capital.and.Coast"
"-12 Capital.and.Coast"
"-12 Hutt.Valley"
"-12 Southern"
"-12 Waikato"
"-12 Waikato"
"-12 Waitemata"
"-12 Waitemata"
"-13 Bay.of.Plenty"
"-13 Canterbury"
"-13 Canterbury"
"-13 Canterbury"
"-13 Canterbury"
"-13 Canterbury"
"-13 Canterbury"
"-13 Capital.and.Coast"
"-13 Capital.and.Coast"
"-13 Counties.Manukau"
"-13 Counties.Manukau"
"-13 Hawkes.Bay"
"-13 Hawkes.Bay"
"-13 Hawkes.Bay"
"-13 Southern"
"-13 Waikato"
"-13 Wairarapa"
"-13 Wairarapa"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-14 Auckland"
"-14 Canterbury"
"-14 Canterbury"
"-14 Capital.and.Coast"
"-14 Capital.and.Coast"
"-14 Nelson.Marlborough"
"-14 Southern"
"-14 Waikato"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-15 Auckland"
"-15 Auckland"
"-15 Auckland"
"-15 Auckland"
"-15 Bay.of.Plenty"
"-15 Canterbury"
"-15 Counties.Manukau"
"-15 Counties.Manukau"
"-15 Southern"
"-15 Southern"
"-15 Waikato"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-16 Auckland"
"-16 Capital.and.Coast"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Nelson.Marlborough"
"-16 Waikato"
"-16 Waitemata"
"-16 Waitemata"
"-16 Waitemata"
"-16 Waitemata"
"-17 Auckland"
"-17 Canterbury"
"-17 Capital.and.Coast"
"-17 MidCentral"
"-17 South.Canterbury"
"-17 Waitemata"
"-17 Waitemata"
"-18 Auckland"
"-18 Auckland"
"-18 Canterbury"
"-18 Canterbury"
"-18 Canterbury"
"-18 Canterbury"
"-18 Counties.Manukau"
"-19 Auckland"
"-19 Canterbury"
"-19 Canterbury"
"-19 Canterbury"
"-19 Waitemata"
"-20 Auckland"
"-20 Bay.of.Plenty"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Capital.and.Coast"
"-20 Nelson.Marlborough"
"-20 Northland"
"-20 Taranaki"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-21 Canterbury"
"-21 MidCentral"
"-21 Waikato"
"-21 Waitemata"
"-22 Bay.of.Plenty"
"-22 Bay.of.Plenty"
"-22 Nelson.Marlborough"
"-22 Nelson.Marlborough"
"-22 Waitemata"
"-23 Canterbury"
"-23 Capital.and.Coast"
"-23 Hutt.Valley"
"-24 Auckland"
"-24 Canterbury"
"-24 Capital.and.Coast"
"-24 Capital.and.Coast"
"-24 Waikato"
"-27 Auckland"
"-27 Auckland"
"-29 Southern"
"-41 Counties.Manukau"
"-41 Waitemata"
""
