"t DHB"
"-12 Waitemata"
"-12 Waitemata"
"-12 Waitemata"
"-12 Waitemata"
"-12 Waitemata"
"-13 Auckland"
"-13 Auckland"
"-13 Auckland"
"-13 Auckland"
"-13 Auckland"
"-13 Bay.of.Plenty"
"-13 Bay.of.Plenty"
"-13 Bay.of.Plenty"
"-13 Canterbury"
"-13 Canterbury"
"-13 Canterbury"
"-13 Capital.and.Coast"
"-13 Capital.and.Coast"
"-13 Counties.Manukau"
"-13 Counties.Manukau"
"-13 Counties.Manukau"
"-13 Counties.Manukau"
"-13 Hawkes.Bay"
"-13 Hawkes.Bay"
"-13 Hutt.Valley"
"-13 Hutt.Valley"
"-13 Hutt.Valley"
"-13 Hutt.Valley"
"-13 MidCentral"
"-13 Nelson.Marlborough"
"-13 Nelson.Marlborough"
"-13 Nelson.Marlborough"
"-13 Northland"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Southern"
"-13 Waikato"
"-13 Waikato"
"-13 Waikato"
"-13 Waikato"
"-13 Waikato"
"-13 Waikato"
"-13 Waikato"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Waitemata"
"-13 Whanganui"
"-13 Whanganui"
"-14 Auckland"
"-14 Auckland"
"-14 Auckland"
"-14 Auckland"
"-14 Auckland"
"-14 Auckland"
"-14 Auckland"
"-14 Bay.of.Plenty"
"-14 Bay.of.Plenty"
"-14 Bay.of.Plenty"
"-14 Bay.of.Plenty"
"-14 Bay.of.Plenty"
"-14 Capital.and.Coast"
"-14 Counties.Manukau"
"-14 Counties.Manukau"
"-14 Counties.Manukau"
"-14 Hawkes.Bay"
"-14 Hawkes.Bay"
"-14 Hawkes.Bay"
"-14 Hawkes.Bay"
"-14 MidCentral"
"-14 MidCentral"
"-14 Nelson.Marlborough"
"-14 Nelson.Marlborough"
"-14 Nelson.Marlborough"
"-14 Northland"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Southern"
"-14 Taranaki"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waikato"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 Waitemata"
"-14 West.Coast"
"-14 Whanganui"
"-14 Whanganui"
"-15 Auckland"
"-15 Auckland"
"-15 Auckland"
"-15 Auckland"
"-15 Bay.of.Plenty"
"-15 Bay.of.Plenty"
"-15 Canterbury"
"-15 Canterbury"
"-15 Capital.and.Coast"
"-15 Capital.and.Coast"
"-15 Counties.Manukau"
"-15 Counties.Manukau"
"-15 Counties.Manukau"
"-15 Counties.Manukau"
"-15 Counties.Manukau"
"-15 Hutt.Valley"
"-15 MidCentral"
"-15 MidCentral"
"-15 MidCentral"
"-15 MidCentral"
"-15 Nelson.Marlborough"
"-15 Nelson.Marlborough"
"-15 Northland"
"-15 Southern"
"-15 Southern"
"-15 Southern"
"-15 Southern"
"-15 Southern"
"-15 Southern"
"-15 Southern"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Waikato"
"-15 Wairarapa"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-15 Waitemata"
"-16 Auckland"
"-16 Auckland"
"-16 Auckland"
"-16 Auckland"
"-16 Bay.of.Plenty"
"-16 Bay.of.Plenty"
"-16 Bay.of.Plenty"
"-16 Bay.of.Plenty"
"-16 Canterbury"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Counties.Manukau"
"-16 Hawkes.Bay"
"-16 Hawkes.Bay"
"-16 Hawkes.Bay"
"-16 Lakes"
"-16 Lakes"
"-16 Nelson.Marlborough"
"-16 Northland"
"-16 South.Canterbury"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Southern"
"-16 Taranaki"
"-16 Waikato"
"-16 Waikato"
"-16 Waikato"
"-16 Waikato"
"-16 Waitemata"
"-16 Waitemata"
"-16 Waitemata"
"-16 Waitemata"
"-16 Waitemata"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Auckland"
"-17 Canterbury"
"-17 Canterbury"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Capital.and.Coast"
"-17 Counties.Manukau"
"-17 Counties.Manukau"
"-17 Counties.Manukau"
"-17 MidCentral"
"-17 MidCentral"
"-17 Nelson.Marlborough"
"-17 Northland"
"-17 Northland"
"-17 South.Canterbury"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
