ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,12,273518,273378,25,14,96,5,0,162,13,1,14,46,5,0,4
0,4,197219,197117,28,5,65,4,0,129,8,2,5,35,4,0,4
0,1,61317,61288,11,1,17,0,0,37,3,0,1,9,0,0,4
0,19,224305,224193,34,14,63,1,0,109,6,2,14,33,1,0,4
0,8,60148,60111,13,1,23,0,0,31,0,0,1,11,0,0,4
0,9,514014,513736,85,18,169,6,0,294,12,2,18,100,6,0,4
0,18,257953,257820,31,8,89,5,0,147,14,2,8,42,5,0,4
0,11,192158,192054,30,8,61,5,0,99,6,3,8,37,5,0,4
0,16,669822,669487,81,18,226,10,2,357,35,11,22,118,10,2,4
0,17,154578,154504,18,7,48,1,0,87,10,0,7,23,1,0,4
0,6,439204,438976,62,12,145,9,0,222,17,6,12,85,9,0,4
0,2,188511,188414,22,6,68,1,0,104,6,0,6,43,1,0,4
0,7,93810,93758,10,7,34,1,0,57,5,2,7,19,1,0,4
0,15,176050,175970,25,5,49,1,0,83,3,1,5,23,1,0,4
0,10,136484,136406,25,5,47,1,0,80,8,1,5,28,1,0,4
0,3,258672,258545,25,12,86,4,0,158,11,1,12,48,4,0,4
0,13,129191,129127,18,5,40,1,0,82,3,1,5,22,1,0,4
0,5,408779,408582,47,19,129,2,0,220,19,3,19,65,2,0,4
0,0,356521,356350,45,17,105,4,0,184,10,6,17,60,4,0,4
0,14,207742,207635,25,7,72,3,0,92,9,3,7,42,3,0,4
1,19,224305,224186,31,10,74,4,0,226,20,7,10,14,3,0,4
1,0,356520,356346,39,10,109,16,1,381,31,4,10,17,12,1,4
1,1,61317,61286,10,3,18,0,0,74,8,2,3,1,0,0,4
1,14,207742,207630,26,4,70,12,0,206,31,5,4,7,9,0,4
1,16,669822,669470,74,24,221,33,2,757,98,17,24,18,23,0,4
1,7,93810,93753,12,3,38,4,0,108,17,5,3,7,3,0,4
1,18,257953,257811,37,3,88,14,0,302,35,9,3,8,9,0,4
1,8,60148,60110,12,2,23,1,0,64,4,1,2,1,1,0,4
1,2,188511,188410,18,8,72,3,0,223,20,4,8,6,2,0,4
1,17,154578,154500,19,3,52,4,0,161,17,4,3,7,3,0,4
1,5,408779,408577,43,9,137,13,0,476,54,5,9,19,11,0,4
1,12,273518,273374,23,6,99,16,0,342,41,4,6,14,11,0,4
1,4,197219,197110,28,7,63,11,0,243,25,7,7,5,7,0,4
1,11,192158,192048,28,8,61,13,0,214,22,6,8,8,8,0,4
1,15,176050,175968,20,7,52,3,0,183,17,2,7,5,2,0,4
1,3,258672,258540,26,4,87,15,0,303,36,5,4,12,11,0,4
1,13,129191,129125,19,1,43,3,0,147,14,2,1,5,2,0,4
1,10,136484,136403,21,7,45,8,0,148,17,3,7,5,7,0,4
1,6,439204,438969,57,12,144,22,0,491,64,7,12,12,13,0,4
1,9,514014,513729,67,25,176,17,0,601,53,7,25,18,11,0,4
2,2,188511,188407,17,4,78,5,0,333,38,3,4,8,2,0,4
2,7,93810,93752,9,4,38,7,0,170,27,1,4,3,3,0,4
2,14,207742,207625,23,8,67,19,0,320,49,5,8,4,7,0,4
2,15,176050,175966,18,4,54,8,0,272,33,2,4,7,5,0,4
2,10,136484,136400,19,5,47,13,0,227,24,3,5,7,5,0,4
2,5,408779,408568,38,14,130,29,0,701,88,9,14,9,16,0,4
2,17,154578,154498,17,4,50,9,0,262,26,2,4,3,5,0,4
2,0,356520,356338,35,12,102,33,1,577,56,8,12,10,17,0,4
2,11,192157,192042,30,4,64,17,1,333,38,6,4,8,4,1,4
2,16,669821,669460,70,14,220,57,3,1099,156,10,14,24,24,1,4
2,6,439204,438963,54,9,146,32,0,786,105,6,9,12,10,0,4
2,3,258671,258535,23,8,77,28,1,456,56,5,8,4,13,1,4
2,13,129191,129119,22,3,41,6,0,202,22,6,3,1,3,0,4
2,19,224305,224181,26,10,76,12,0,359,39,5,10,10,8,0,4
2,8,60148,60109,9,4,21,5,0,103,7,1,4,2,4,0,4
2,18,257953,257800,41,7,83,22,0,439,51,11,7,3,8,0,4
2,12,273518,273370,23,4,96,25,0,495,58,4,4,6,9,0,4
2,4,197219,197107,25,6,63,18,0,346,36,3,6,7,7,0,4
2,1,61316,61285,9,2,17,3,1,100,10,1,2,3,3,1,4
2,9,514013,513719,57,20,186,31,1,888,102,10,20,25,14,1,4
3,1,61316,61284,9,1,19,3,1,134,11,1,1,2,0,0,4
3,12,273518,273357,32,4,92,33,0,669,83,13,4,4,8,0,4
3,16,669821,669448,61,21,209,82,3,1468,207,12,21,14,25,0,4
3,8,60148,60106,8,4,23,7,0,137,12,3,4,4,2,0,4
3,2,188511,188401,21,2,74,13,0,454,65,6,2,4,8,0,4
3,0,356520,356330,29,14,105,42,1,779,76,8,14,12,9,0,4
3,18,257953,257794,38,9,83,29,0,588,69,6,9,7,7,0,4
3,11,192157,192036,30,6,61,24,1,430,50,6,6,4,7,0,4
3,3,258670,258534,17,7,77,35,2,609,74,1,7,8,7,1,4
3,9,514012,513707,52,17,189,47,2,1196,163,12,17,20,16,1,4
3,7,93810,93748,13,0,38,11,0,230,38,4,0,4,4,0,4
3,6,439204,438949,59,9,135,52,0,1037,136,14,9,9,20,0,4
3,14,207742,207623,21,4,67,27,0,426,68,2,4,8,8,0,4
3,15,176050,175962,21,1,53,13,0,368,52,4,1,4,5,0,4
3,19,224305,224176,24,7,79,19,0,496,56,5,7,10,7,0,4
3,10,136484,136398,16,5,45,20,0,317,40,2,5,5,7,0,4
3,4,197219,197104,21,7,63,24,0,457,51,3,7,6,6,0,4
3,17,154578,154496,13,6,46,17,0,348,41,2,6,4,8,0,4
3,13,129191,129118,16,7,37,13,0,284,32,1,7,3,7,0,4
3,5,408779,408561,34,11,133,40,0,942,112,7,11,14,11,0,4
4,17,154578,154495,12,2,48,21,0,434,53,1,2,6,4,0,4
4,6,439204,438938,54,16,126,70,0,1307,166,11,16,9,18,0,4
4,19,224305,224169,23,8,81,24,0,646,73,7,8,7,5,0,4
4,15,176050,175960,18,5,45,22,0,463,64,2,5,1,9,0,4
4,11,192157,192032,26,8,59,32,1,534,61,4,8,6,8,0,4
4,4,197219,197101,20,4,62,32,0,569,71,3,4,7,8,0,4
4,16,669821,669439,50,20,202,110,3,1836,263,9,20,21,28,0,4
4,12,273518,273346,31,12,87,42,0,863,110,11,12,4,9,0,4
4,18,257952,257786,38,8,84,36,1,734,85,8,8,9,7,1,4
4,8,60148,60102,10,2,26,8,0,172,19,4,2,4,1,0,4
4,3,258670,258529,12,10,75,44,2,734,99,5,10,7,9,0,4
4,13,129191,129118,13,3,40,17,0,360,37,0,3,7,4,0,4
4,2,188511,188398,17,7,69,20,0,575,91,3,7,2,7,0,4
4,5,408779,408556,29,10,130,54,0,1193,147,5,10,11,14,0,4
4,7,93810,93746,12,3,33,16,0,292,50,2,3,0,5,0,4
4,0,356520,356323,31,5,111,50,1,952,106,7,5,14,8,0,4
4,14,207742,207620,18,6,63,35,0,588,88,3,6,4,8,0,4
4,1,61316,61283,9,1,18,5,1,178,21,1,1,1,2,0,4
4,10,136484,136395,16,3,46,24,0,392,56,3,3,5,4,0,4
4,9,514012,513695,49,15,185,68,2,1500,208,12,15,17,21,0,4
5,3,258670,258528,11,2,66,63,2,876,117,1,2,10,19,0,4
5,18,257952,257781,33,10,82,46,1,891,110,5,10,8,10,0,4
5,11,192157,192024,25,9,61,38,1,637,79,8,9,8,6,0,4
5,12,273518,273340,28,9,88,53,0,1017,132,6,9,12,11,0,4
5,6,439204,438928,47,17,131,81,0,1553,200,10,17,16,11,0,4
5,1,61316,61282,6,4,19,5,1,205,22,1,4,1,0,0,4
5,5,408779,408552,25,8,123,71,0,1422,173,4,8,10,17,0,4
5,0,356520,356317,26,11,108,58,1,1178,145,6,11,5,8,0,4
5,19,224305,224162,26,4,81,32,0,786,95,7,4,8,8,0,4
5,10,136484,136393,14,4,45,28,0,472,68,2,4,3,4,0,4
5,2,188511,188391,17,7,69,27,0,692,110,7,7,7,7,0,4
5,9,514012,513681,52,11,177,91,2,1826,260,14,11,15,23,0,4
5,16,669820,669429,50,10,203,128,4,2204,322,10,10,20,18,1,4
5,13,129191,129114,16,1,41,19,0,423,44,4,1,3,2,0,4
5,8,60148,60100,12,0,25,11,0,212,27,2,0,2,3,0,4
5,4,197219,197097,21,3,60,38,0,705,88,4,3,4,6,0,4
5,15,176050,175958,15,5,47,25,0,576,74,2,5,5,3,0,4
5,14,207742,207618,17,3,64,40,0,699,104,2,3,6,5,0,4
5,7,93810,93745,11,2,34,18,0,347,57,1,2,3,2,0,4
5,17,154578,154493,12,2,48,23,0,518,67,2,2,2,2,0,4
6,6,439204,438916,47,12,136,93,0,1789,228,12,12,17,12,0,4
6,5,408779,408542,31,4,119,83,0,1660,205,10,4,8,12,0,4
6,16,669820,669419,42,18,197,144,4,2609,372,10,18,10,16,0,4
6,19,224305,224158,22,8,76,41,0,923,116,4,8,4,9,0,4
6,0,356519,356312,27,4,103,73,2,1366,165,5,4,11,15,1,4
6,9,514012,513671,52,10,168,111,2,2102,298,10,10,11,20,0,4
6,18,257952,257780,25,9,82,56,1,1033,133,1,9,10,10,0,4
6,13,129191,129113,13,4,37,24,0,496,53,1,4,1,5,0,4
6,1,61316,61281,6,1,22,6,1,237,27,1,1,4,1,0,4
6,2,188511,188384,20,4,71,32,0,815,124,7,4,7,5,0,4
6,17,154578,154489,15,1,45,28,0,591,71,4,1,2,5,0,4
6,8,60148,60099,8,5,20,16,0,258,31,1,5,0,5,0,4
6,3,258670,258525,8,6,64,67,2,1041,134,3,6,2,4,0,4
6,15,176050,175956,16,1,51,26,0,679,89,2,1,5,1,0,4
6,7,93810,93741,10,5,36,18,0,395,62,4,5,2,0,0,4
6,12,273518,273335,23,10,85,65,0,1185,157,5,10,9,12,0,4
6,4,197219,197091,25,2,59,42,0,822,98,6,2,3,4,0,4
6,14,207742,207611,19,5,61,46,0,801,115,7,5,3,6,0,4
6,11,192157,192023,21,5,61,47,1,755,92,1,5,9,9,0,4
6,10,136484,136387,18,2,45,32,0,560,82,6,2,4,4,0,4
7,17,154578,154483,18,3,42,32,0,666,80,6,3,1,4,0,4
7,15,176049,175954,10,8,46,31,1,800,99,2,8,1,5,1,4
7,12,273518,273328,24,6,87,73,0,1325,175,7,6,10,8,0,4
7,5,408779,408530,35,8,112,94,0,1886,225,12,8,4,11,0,4
7,0,356519,356307,22,10,96,84,2,1580,187,5,10,4,11,0,4
7,7,93810,93737,8,6,41,18,0,458,71,4,6,5,0,0,4
7,14,207742,207608,16,6,61,51,0,927,133,3,6,5,5,0,4
7,1,61316,61280,5,2,22,7,1,262,34,1,2,1,1,0,4
7,10,136484,136385,16,4,41,38,0,645,93,2,4,2,6,0,4
7,16,669820,669408,44,9,199,160,4,3011,433,11,9,18,16,0,4
7,13,129191,129111,13,2,36,29,0,545,60,2,2,4,5,0,4
7,6,439203,438910,42,11,137,103,1,2050,259,6,11,12,10,1,4
7,11,192157,192018,22,4,58,55,1,879,108,5,4,5,8,0,4
7,4,197219,197089,19,8,57,46,0,918,103,2,8,2,4,0,4
7,19,224305,224153,18,9,75,50,0,1055,132,5,9,8,9,0,4
7,18,257951,257774,18,13,86,60,2,1193,151,6,13,9,4,1,4
7,9,514012,513655,52,16,159,130,2,2410,345,16,16,10,19,0,4
7,2,188511,188382,17,5,68,39,0,931,139,2,5,4,7,0,4
7,8,60148,60098,5,4,22,19,0,289,33,1,4,5,3,0,4
7,3,258670,258524,9,0,63,74,2,1176,149,1,0,6,7,0,4
8,16,669820,669400,46,6,190,178,4,3396,485,8,6,9,18,0,4
8,19,224305,224150,19,2,77,57,0,1195,149,3,2,9,7,0,4
8,9,514012,513645,50,12,164,141,2,2734,387,10,12,16,11,0,4
8,2,188511,188377,20,2,64,48,0,1045,155,5,2,5,9,0,4
8,12,273518,273318,30,4,84,82,0,1484,194,10,4,6,9,0,4
8,15,176049,175952,9,3,45,40,1,907,115,2,3,8,9,0,4
8,1,61316,61279,5,1,21,10,1,290,38,1,1,2,3,0,4
8,13,129191,129108,12,4,31,36,0,629,70,3,4,2,7,0,4
8,10,136484,136382,15,4,42,41,0,736,100,3,4,4,3,0,4
8,6,439202,438899,42,11,134,116,2,2286,297,11,11,11,13,1,4
8,14,207742,207606,15,3,65,53,0,1051,148,2,3,6,2,0,4
8,17,154578,154480,17,4,41,36,0,746,82,3,4,3,4,0,4
8,18,257951,257765,23,4,91,68,2,1324,171,9,4,13,8,0,4
8,4,197219,197082,20,6,59,52,0,1027,120,7,6,8,6,0,4
8,5,408779,408518,38,9,108,106,0,2125,249,12,9,8,12,0,4
8,8,60148,60097,6,0,22,23,0,315,38,1,0,4,4,0,4
8,11,192156,192016,17,7,54,62,2,993,119,2,7,4,7,1,4
8,3,258670,258518,13,2,58,79,2,1327,168,6,2,0,5,0,4
8,0,356519,356299,25,5,98,92,2,1757,203,8,5,10,8,0,4
8,7,93810,93735,9,1,44,21,0,519,88,2,1,6,3,0,4
9,17,154578,154479,16,2,43,38,0,818,88,1,2,4,2,0,4
9,9,514012,513634,50,11,162,155,2,3034,424,11,11,12,14,0,4
9,6,439202,438892,34,15,139,122,2,2529,331,7,15,11,6,0,4
