ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,15,246550,246410,43,8,85,4,0,139,10,2,8,45,4,0,4
0,16,118413,118355,16,3,37,2,0,57,5,1,3,21,2,0,4
0,7,123714,123640,19,6,44,5,0,65,5,2,6,24,5,0,4
0,5,98196,98161,9,5,17,4,0,50,5,1,5,7,4,0,4
0,2,259166,259025,43,14,73,11,0,143,5,5,14,41,11,0,4
0,3,354154,353956,48,20,119,11,0,188,15,3,20,68,11,0,4
0,1,330193,330021,47,9,111,5,0,184,18,2,9,59,5,0,4
0,8,370504,370324,44,21,113,2,0,214,13,2,21,63,2,0,4
0,0,278124,277992,26,16,84,6,0,149,14,2,16,45,6,0,4
0,4,141505,141432,20,13,36,4,0,84,8,2,13,16,4,0,4
0,14,501656,501415,69,18,147,7,0,296,22,2,18,84,7,0,4
0,17,242415,242292,27,5,86,5,0,152,14,5,5,43,5,0,4
0,9,149836,149756,23,9,48,0,0,70,5,1,9,28,0,0,4
0,12,193988,193890,20,15,58,5,0,106,5,1,15,31,5,0,4
0,6,168945,168868,21,7,45,4,0,119,9,1,7,20,4,0,4
0,10,464442,464232,66,24,116,4,2,262,22,5,24,59,4,2,4
0,19,214581,214466,35,8,68,4,0,114,8,2,8,37,4,0,4
0,13,248214,248092,32,5,78,7,0,144,22,3,5,31,7,0,4
0,18,135320,135251,23,8,35,3,0,70,7,1,8,18,3,0,4
0,11,360083,359876,60,14,130,3,0,244,17,4,14,70,3,0,4
1,5,98196,98161,6,3,21,5,0,107,8,0,3,5,1,0,4
1,6,168945,168866,16,7,44,12,0,215,14,2,7,7,8,0,4
1,4,141505,141431,10,11,44,9,0,164,16,1,11,13,5,0,4
1,1,330193,330013,40,15,104,21,0,386,44,8,15,9,16,0,4
1,3,354154,353949,43,12,131,19,0,378,35,7,12,20,8,0,4
1,2,259166,259022,37,9,79,19,0,303,23,3,9,14,8,0,4
1,18,135320,135250,18,6,39,7,0,154,20,1,6,8,4,0,4
1,15,246550,246399,44,10,84,13,0,285,35,11,10,8,9,0,4
1,11,360083,359866,59,11,131,16,0,431,45,10,11,14,13,0,4
1,17,242414,242291,20,8,83,12,1,287,29,1,8,5,7,1,4
1,0,278124,277988,22,8,91,15,0,313,41,4,8,16,9,0,4
1,12,193987,193887,18,5,68,9,1,205,18,3,5,15,4,1,4
1,16,118413,118352,13,6,37,5,0,125,18,3,6,3,3,0,4
1,19,214581,214460,31,10,70,10,0,214,26,6,10,8,6,0,4
1,13,248214,248088,25,11,73,17,0,286,40,4,11,5,10,0,4
1,7,123713,123637,20,2,43,11,1,148,14,3,2,6,6,1,4
