ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,16,135671,135590,25,4,48,4,0,77,5,1,4,26,4,0,4
0,7,157089,157007,22,7,51,2,0,79,4,2,7,30,2,0,4
0,0,332672,332484,46,14,119,9,0,173,16,3,14,68,9,0,4
0,3,135550,135478,12,10,49,1,0,63,6,2,10,22,1,0,4
0,6,263325,263203,37,10,69,6,0,157,8,1,10,44,6,0,4
0,18,495980,495744,62,19,148,7,1,254,11,9,19,80,7,1,4
0,1,382384,382171,57,26,123,7,0,209,19,6,26,53,7,0,4
0,11,350130,349962,46,14,101,7,0,179,11,4,14,53,7,0,4
0,5,208335,208225,34,8,65,3,0,112,10,4,8,37,3,0,4
0,12,143694,143617,22,6,46,3,0,80,3,1,6,22,3,0,4
0,19,213076,212969,30,9,62,6,0,127,11,6,9,25,6,0,4
0,8,315457,315282,50,12,108,5,0,175,20,3,12,62,5,0,4
0,4,211946,211859,20,7,58,2,0,116,4,1,7,29,2,0,4
0,14,232289,232142,44,14,86,3,0,138,9,1,14,40,3,0,4
0,15,306129,305983,33,14,95,4,0,175,17,3,14,45,4,0,4
0,9,279770,279628,37,6,91,8,0,145,14,3,6,56,8,0,4
0,17,287018,286847,58,19,87,7,0,141,11,6,19,42,7,0,4
0,10,100882,100844,9,2,25,2,0,50,3,1,2,15,2,0,4
0,13,202259,202182,24,5,47,1,0,92,3,2,5,31,1,0,4
0,2,246343,246219,34,5,82,3,0,139,8,5,5,45,3,0,4
1,5,208335,208222,25,12,71,5,0,231,26,3,12,8,2,0,4
1,7,157089,157004,19,6,56,4,0,168,13,3,6,7,2,0,4
1,19,213076,212968,20,11,68,9,0,249,21,1,11,9,3,0,4
1,18,495979,495736,55,15,155,18,2,572,44,8,15,19,11,1,4
1,15,306129,305981,27,8,97,16,0,359,42,2,8,14,12,0,4
1,3,135550,135472,15,3,53,7,0,133,18,6,3,10,6,0,4
1,8,315457,315277,40,15,111,14,0,371,41,5,15,12,9,0,4
1,2,246343,246214,34,5,81,9,0,290,34,5,5,5,6,0,4
1,12,143694,143612,22,5,51,4,0,168,15,5,5,6,1,0,4
1,16,135671,135583,30,2,45,11,0,157,20,7,2,4,7,0,4
1,13,202259,202177,22,7,45,8,0,206,17,5,7,5,7,0,4
1,11,350130,349950,47,11,104,18,0,375,36,12,11,14,11,0,4
1,10,100882,100843,7,3,25,4,0,107,10,1,3,2,2,0,4
1,0,332672,332478,38,14,117,25,0,365,52,6,14,14,16,0,4
1,17,287018,286846,47,12,94,19,0,302,33,1,12,19,12,0,4
1,6,263325,263195,34,11,74,11,0,301,26,8,11,10,5,0,4
1,9,279770,279621,37,7,93,12,0,314,30,7,7,6,4,0,4
1,14,232289,232139,41,6,93,10,0,291,29,3,6,14,7,0,4
1,1,382384,382164,52,12,135,21,0,416,52,7,12,26,14,0,4
1,4,211946,211853,19,7,59,8,0,236,18,6,7,7,6,0,4
2,3,135550,135471,13,3,52,11,0,232,39,1,3,3,4,0,4
2,16,135671,135581,22,10,39,19,0,244,31,2,10,2,8,0,4
2,4,211946,211850,17,5,60,14,0,368,37,3,5,7,6,0,4
2,5,208335,208220,22,5,76,12,0,343,44,2,5,12,7,0,4
2,0,332672,332474,36,6,117,39,0,570,84,4,6,14,14,0,4
2,15,306129,305975,27,6,91,30,0,543,68,6,6,8,14,0,4
2,9,279769,279617,25,16,91,20,1,491,56,4,16,7,8,1,4
2,2,246343,246213,27,8,73,22,0,437,59,1,8,5,13,0,4
2,17,287018,286844,40,9,96,29,0,489,55,2,9,12,10,0,4
2,19,213076,212963,20,5,69,19,0,348,33,5,5,11,10,0,4
2,13,202259,202175,19,5,47,13,0,328,37,2,5,7,5,0,4
2,6,263325,263191,32,6,77,19,0,438,40,4,6,11,8,0,4
2,7,157089,157001,16,6,57,9,0,271,28,3,6,6,5,0,4
2,8,315457,315269,37,11,119,21,0,560,64,8,11,15,7,0,4
2,12,143694,143609,19,6,54,6,0,245,26,3,6,5,2,0,4
2,18,495979,495731,50,10,154,34,2,863,83,5,10,15,16,0,4
2,11,350130,349943,42,12,96,37,0,588,63,7,12,11,19,0,4
2,10,100882,100842,6,2,26,6,0,163,15,1,2,3,2,0,4
2,14,232289,232132,42,6,89,20,0,441,55,7,6,6,10,0,4
2,1,382384,382150,53,13,132,36,0,637,96,14,13,12,15,0,4
3,1,382384,382139,52,12,132,49,0,856,136,11,12,13,13,0,4
3,11,350130,349939,33,13,101,44,0,808,96,4,13,12,7,0,4
3,4,211946,211848,16,3,61,18,0,479,53,2,3,5,4,0,4
3,18,495979,495726,46,9,151,47,2,1157,127,5,9,10,13,0,4
3,6,263325,263186,33,4,76,26,0,588,58,5,4,6,7,0,4
3,7,157089,156997,18,2,58,14,0,367,44,4,2,6,5,0,4
3,5,208335,208217,19,6,77,16,0,478,65,3,6,5,4,0,4
3,3,135550,135467,17,0,49,17,0,309,52,4,0,3,6,0,4
