ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
35,13,205908,205677,15,3,23,190,1,4141,462,3,3,2,8,0,4
35,10,159277,159096,11,2,34,134,1,3231,395,2,2,3,3,0,4
35,9,180080,179949,2,0,12,117,1,3428,252,2,0,1,2,0,4
36,5,258863,258582,10,4,35,232,1,5435,583,0,4,1,4,0,4
36,11,128456,128345,5,1,14,91,0,2631,218,2,1,1,2,0,4
36,1,450518,450125,12,1,43,337,9,9297,885,1,1,3,9,0,4
36,8,395560,395174,15,8,41,322,3,8207,780,8,8,3,4,0,4
36,13,205908,205676,10,6,24,192,1,4247,468,1,6,3,2,0,4
36,12,263922,263677,10,2,33,200,4,5337,507,2,2,2,5,0,4
36,10,159277,159096,7,4,34,136,1,3314,401,0,4,2,2,0,4
36,15,389208,388798,16,4,51,339,4,8127,831,7,4,4,2,0,4
36,2,264625,264344,13,4,39,225,1,5499,576,4,4,1,8,0,4
36,6,233294,233057,13,0,28,196,1,4792,435,4,0,0,5,0,4
36,17,264300,264029,17,1,38,215,1,5445,500,5,1,5,3,0,4
36,9,180080,179947,4,0,12,117,1,3516,253,2,0,0,0,0,4
36,7,245147,244899,8,3,34,203,1,5100,499,1,3,1,3,0,4
36,0,157191,157001,11,3,29,147,2,3305,413,3,3,3,2,1,4
36,3,607569,606925,29,4,82,529,5,12778,1393,4,4,10,10,0,4
36,18,268523,268278,11,3,29,202,3,5556,462,3,3,3,3,0,4
36,16,156009,155881,2,0,13,113,2,3127,285,1,0,0,0,0,4
36,4,200455,200242,11,1,28,173,2,4275,445,7,1,1,1,0,4
36,19,118230,118100,3,1,14,112,0,2525,298,1,1,0,1,0,4
36,14,52822,52787,0,1,2,32,1,1048,77,0,1,0,0,0,4
37,9,180080,179947,3,1,10,119,1,3608,255,0,1,0,2,0,4
37,6,233294,233056,11,3,25,199,1,4912,442,1,3,0,3,0,4
37,3,607569,606919,30,5,74,541,5,13130,1420,6,5,4,12,0,4
37,2,264625,264340,16,1,35,233,1,5635,586,4,1,4,8,0,4
37,15,389208,388796,14,4,51,343,4,8326,843,2,4,4,4,0,4
37,0,157191,157000,10,2,30,149,2,3395,419,1,2,3,2,0,4
37,1,450518,450124,10,3,40,341,9,9534,897,1,3,1,4,0,4
37,10,159277,159094,5,4,36,138,1,3395,406,2,4,4,2,0,4
37,7,245147,244897,5,5,32,208,1,5240,510,2,5,3,5,0,4
37,17,264300,264026,16,4,35,219,1,5585,510,3,4,1,4,0,4
37,13,205908,205673,12,1,28,194,1,4348,475,3,1,6,2,0,4
37,11,128455,128345,3,2,11,94,1,2697,221,0,2,1,3,1,4
37,4,200455,200242,7,4,27,175,2,4356,451,0,4,1,2,0,4
37,14,52822,52787,0,0,3,32,1,1074,78,0,0,1,0,0,4
37,5,258863,258582,8,2,37,234,1,5575,593,0,2,4,2,0,4
37,18,268523,268274,13,2,32,202,3,5696,471,4,2,3,0,0,4
37,19,118230,118098,3,2,15,112,0,2600,303,2,2,1,0,0,4
37,12,263922,263675,11,1,31,204,4,5491,518,2,1,2,4,0,4
37,16,156009,155880,3,0,10,116,2,3216,289,1,0,0,3,0,4
37,8,395560,395174,9,6,48,323,3,8396,787,0,6,8,1,0,4
38,14,52822,52787,0,0,3,32,1,1098,81,0,0,0,0,0,4
38,11,128455,128343,5,0,11,96,1,2772,223,2,0,2,2,0,4
38,17,264300,264021,17,4,37,221,1,5736,517,5,4,4,2,0,4
38,6,233294,233056,8,3,26,201,1,5043,448,0,3,3,2,0,4
38,2,264625,264337,10,9,32,237,1,5797,600,3,9,1,4,0,4
38,10,159277,159094,5,0,38,140,1,3484,418,0,0,4,2,0,4
38,18,268523,268270,11,6,31,205,3,5835,479,4,6,2,3,0,4
38,9,180080,179944,5,1,9,121,1,3702,259,3,1,1,2,0,4
38,15,389208,388794,10,6,52,346,4,8524,855,2,6,4,3,0,4
38,13,205908,205671,12,2,25,198,1,4471,483,2,2,1,4,0,4
38,1,450518,450123,9,2,38,346,9,9816,912,1,2,3,5,0,4
38,16,156009,155879,2,2,9,117,2,3297,292,1,2,0,1,0,4
38,0,157191,156999,11,0,28,153,2,3487,427,1,0,2,4,0,4
38,12,263922,263675,9,2,26,210,4,5625,523,0,2,1,6,0,4
38,7,245147,244895,7,0,36,209,1,5380,513,2,0,5,1,0,4
38,3,607569,606914,27,8,72,548,5,13472,1441,5,8,5,7,0,4
