ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,49,83790,83748,7,4,31,0,0,49,2,0,4,15,0,0,4
0,27,96553,96500,22,2,28,1,0,54,3,1,2,19,1,0,4
0,14,62561,62532,11,2,16,0,0,25,1,2,2,8,0,0,4
0,35,85389,85354,11,2,21,1,0,48,5,0,2,8,1,0,4
0,15,65255,65216,10,0,29,0,0,31,3,0,0,16,0,0,4
0,33,55349,55324,5,2,17,1,0,31,2,1,2,9,1,0,4
0,21,161494,161433,15,8,36,2,0,85,3,2,8,19,2,0,4
0,13,140588,140524,19,6,39,0,0,64,4,1,6,28,0,0,4
0,45,72865,72819,12,3,31,0,0,37,3,1,3,15,0,0,4
0,1,70400,70358,10,3,28,1,0,43,4,0,3,16,1,0,4
0,41,186597,186490,33,6,62,6,0,103,6,1,6,40,6,0,4
0,39,99445,99407,13,2,23,0,0,39,1,0,2,14,0,0,4
0,2,54589,54565,5,4,14,1,0,38,2,0,4,10,1,0,4
0,48,53692,53664,10,2,15,1,0,28,2,0,2,5,1,0,4
0,47,76288,76249,9,1,28,1,0,41,4,1,1,16,1,0,4
0,44,76748,76710,8,5,25,0,0,43,3,0,5,13,0,0,4
0,34,94924,94863,20,4,36,1,0,45,2,1,4,22,1,0,4
0,42,85177,85131,14,7,24,1,0,45,1,0,7,15,1,0,4
0,37,158981,158881,28,11,61,0,0,89,4,2,11,31,0,0,4
0,38,97010,96958,15,5,28,4,0,51,6,0,5,17,4,0,4
0,29,82810,82773,11,1,25,0,0,48,5,0,1,10,0,0,4
0,46,45713,45691,5,2,13,2,0,30,2,0,2,5,2,0,4
0,10,35933,35919,6,0,6,2,0,17,1,0,0,5,2,0,4
0,31,21058,21050,1,0,5,2,0,10,0,0,0,5,2,0,4
0,5,80399,80366,8,0,23,2,0,47,8,0,0,12,2,0,4
0,16,232500,232373,29,12,79,7,0,131,8,2,12,48,7,0,4
0,22,93851,93807,11,2,30,1,0,60,9,0,2,15,1,0,4
0,26,114706,114652,11,6,34,3,0,70,3,2,6,18,3,0,4
0,36,86838,86799,10,3,24,2,0,50,5,0,3,14,2,0,4
0,23,96174,96120,10,6,36,2,0,54,3,0,6,15,2,0,4
0,19,125074,125003,16,2,51,2,0,70,9,2,2,26,2,0,4
0,11,53651,53628,9,3,11,0,0,22,1,0,3,6,0,0,4
0,40,85356,85309,15,2,28,2,0,47,5,2,2,12,2,0,4
0,17,113568,113503,18,2,45,0,0,52,5,1,2,19,0,0,4
0,25,167944,167848,27,6,57,6,0,84,5,1,6,41,6,0,4
0,6,44775,44754,8,4,9,0,0,23,1,1,4,5,0,0,4
0,32,58191,58167,6,2,16,0,0,18,2,1,2,8,0,0,4
0,28,107719,107663,17,3,35,1,0,64,8,0,3,17,1,0,4
0,3,157248,157180,17,1,47,3,0,78,7,4,1,28,3,0,4
0,9,154771,154692,13,6,57,3,0,92,6,1,6,30,3,0,4
0,43,137740,137670,28,7,34,1,0,78,7,6,7,14,1,0,4
0,7,125043,124984,10,7,40,2,0,65,6,2,7,23,2,0,4
0,4,116318,116252,15,3,47,1,0,53,2,2,3,26,1,0,4
0,8,98494,98445,12,3,32,2,0,61,8,2,3,13,2,0,4
0,0,78813,78770,10,2,30,1,0,51,2,1,2,16,1,0,4
0,30,105547,105508,8,2,28,1,0,70,4,0,2,19,1,0,4
0,18,86790,86745,13,6,22,4,0,51,3,3,6,10,4,0,4
0,12,192205,192103,25,6,68,3,0,114,7,1,6,41,3,0,4
0,24,133407,133326,23,10,47,1,0,64,7,2,10,23,1,0,4
0,20,89668,89624,15,5,23,1,0,49,2,0,5,14,1,0,4
1,35,85389,85351,11,3,20,4,0,101,10,3,3,2,3,0,4
1,27,96553,96496,20,6,27,4,0,107,12,4,6,2,3,0,4
1,40,85356,85308,13,3,25,7,0,101,9,1,3,2,5,0,4
1,6,44775,44754,6,2,11,2,0,43,5,0,2,4,2,0,4
1,49,83790,83747,7,1,32,3,0,101,11,1,1,4,3,0,4
1,11,53651,53627,9,1,13,1,0,50,2,1,1,3,1,0,4
1,7,125043,124980,12,2,39,10,0,151,17,4,2,7,8,0,4
1,5,80399,80364,10,0,23,2,0,105,17,2,0,0,0,0,4
1,26,114706,114651,11,1,37,6,0,123,11,1,1,6,3,0,4
1,31,21058,21050,1,0,5,2,0,18,0,0,0,0,0,0,4
1,24,133407,133322,22,5,56,2,0,139,17,4,5,10,1,0,4
1,17,113568,113500,18,3,41,6,0,124,18,3,3,2,6,0,4
1,0,78813,78767,10,3,29,4,0,98,8,3,3,2,3,0,4
1,3,157248,157179,13,5,40,11,0,168,20,1,5,1,8,0,4
1,36,86838,86798,10,1,23,6,0,94,11,1,1,3,4,0,4
1,34,94923,94862,13,8,38,2,1,95,8,1,8,4,1,1,4
1,25,167944,167848,21,6,60,9,0,199,19,0,6,6,3,0,4
1,13,140588,140524,16,3,43,2,0,150,12,0,3,6,2,0,4
1,9,154771,154689,14,2,55,11,0,192,25,3,2,6,8,0,4
1,14,62561,62531,6,6,15,3,0,59,5,1,6,2,3,0,4
1,41,186597,186485,31,7,66,8,0,207,19,5,7,6,2,0,4
1,20,89668,89622,13,4,24,5,0,99,9,2,4,5,4,0,4
1,38,97009,96956,14,3,30,6,1,96,9,2,3,5,2,1,4
