DHB-locality,pop
Auckland,538840
Bay of Plenty,236820
Canterbury,562870
Capital and Coast,316620
Counties Manukau,557790
Hawke's Bay,165360
Hutt,149270
Lakes,110040
Midcentral,178240
Nelson Marlborough,150280
Northland,178500
South Canterbury,60025
Southern,328230
Tairawhiti,48965
Taranaki,119640
Waikato,417130
Wairarapa,44845
Waitemata,622350
West Coast,32445
Whanganui,64565
