"NAME" "x_rel" "y_rel" "pop"
"Auckland" 0.341165093838245 1.26684345637532 538840
"Bay of Plenty" 1.13859988431888 0.658399572541048 236820
"Canterbury" -0.984389106990874 -1.19374311810225 562870
"Capital and Coast" 0.165894059153851 -0.438902822866233 316620
"Counties Manukau" 0.230439043314919 1.01606589733076 557790
"Hawke's Bay" 1.04213422465207 0.170967078076671 165360
"Hutt" 0.230852184167153 -0.467031138675391 149270
"Lakes" 0.760222017881952 0.463861388494924 110040
"Midcentral" 0.579431413952139 -0.181699081028052 178240
"Nelson Marlborough" -0.619782966403092 -0.611448249461144 150280
"Northland" -0.279440075411107 1.65442004215251 178500
"South Canterbury" -1.65052378289472 -1.58610151776667 60025
"Southern" -2.38854190499352 -2.09205857363818 328230
"Tairawhiti" 1.5847147284189 0.578215603756158 48965
"Taranaki" -0.0068313609077733 0.226911968758374 119640
"Waikato" 0.415045659445041 0.694450266295767 417130
"Wairarapa" 0.487910926311789 -0.44761885603152 44845
"Waitemata" 0.0554735341139867 1.25453774506367 622350
"West Coast" -1.56621872738316 -1.07619650199163 32445
"Whanganui" 0.46384515541532 0.110126840715839 64565
