distributed-seir-08
02:51:46.996 PM 06-Apr-2020
min-pxcor,-15
max-pxcor,15
min-pycor,-15
max-pycor,15
initial-infected,100
alert-policy,global
testing-rate-presymptomatic,0.025
testing-rate-general,5.0E-4
init-alert-level,0
use-seed?,false
seed,30
relative-infectiousness-presymptomatic,0.15
p-icu,0.0125
pop-sd-multiplier,0.45
population,5000000
p-hosp,0.05
uniform-by-pop?,true
infected-to-recovered,0.1
flow-rate,1
cfr-0,0.01
exposed-to-presymptomatic,0.25
time-horizon,7
alert-levels-R0,[2.5 2.1 1.6 1.1 0.6]
num-locales,100
cfr-1,0.02
alert-levels-flow,[1.0 0.5 0.25 0.1 0.05]
presymptomatic-to-infected,1
testing-rate-symptomatic,0.25
icu-cap,500
log-all-locales?,true
ticks,seed,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
0,30,30,42487,42487,0,0,0,0,0,28,0,0,0,0,0,0,0
0,30,38,59086,59084,0,0,2,0,0,25,0,0,0,2,0,0,0
0,30,26,25592,25592,0,0,0,0,0,9,0,0,0,0,0,0,0
0,30,25,31523,31522,0,0,1,0,0,22,0,0,0,1,0,0,0
0,30,16,60228,60226,1,0,1,0,0,31,1,0,0,0,0,0,0
0,30,67,21046,21046,0,0,0,0,0,10,0,0,0,0,0,0,0
0,30,0,106345,106345,0,0,0,0,0,46,0,0,0,0,0,0,0
0,30,97,74321,74320,0,0,1,0,0,37,0,0,0,1,0,0,0
0,30,55,83760,83760,0,0,0,0,0,47,0,0,0,0,0,0,0
0,30,48,48075,48071,1,0,3,0,0,30,0,0,0,1,0,0,0
0,30,88,68951,68949,0,0,2,0,0,27,0,0,0,0,0,0,0
0,30,52,47337,47335,0,0,2,0,0,26,0,0,0,1,0,0,0
0,30,56,36265,36265,0,0,0,0,0,20,0,0,0,0,0,0,0
0,30,46,30030,30029,0,1,0,0,0,15,0,0,1,0,0,0,0
0,30,93,41293,41292,0,0,1,0,0,19,0,0,0,1,0,0,0
0,30,1,24740,24739,0,0,1,0,0,12,0,0,0,1,0,0,0
0,30,87,53095,53094,0,0,1,0,0,24,0,0,0,0,0,0,0
0,30,63,27270,27269,0,0,1,0,0,17,0,0,0,1,0,0,0
0,30,58,115660,115658,1,0,1,0,0,66,0,0,0,1,0,0,0
0,30,61,49772,49772,0,0,0,0,0,30,0,0,0,0,0,0,0
0,30,23,39155,39153,0,0,2,0,0,22,1,0,0,0,0,0,0
0,30,65,44456,44455,0,0,1,0,0,26,0,0,0,0,0,0,0
0,30,37,54083,54081,0,0,2,0,0,32,0,0,0,2,0,0,0
0,30,17,70361,70361,0,0,0,0,0,39,0,0,0,0,0,0,0
0,30,74,44868,44867,0,0,1,0,0,14,0,0,0,1,0,0,0
0,30,96,36605,36604,1,0,0,0,0,22,0,0,0,0,0,0,0
0,30,24,42784,42783,0,0,1,0,0,21,0,0,0,1,0,0,0
0,30,59,33823,33823,0,0,0,0,0,14,0,0,0,0,0,0,0
0,30,29,39332,39330,1,0,1,0,0,25,0,0,0,1,0,0,0
1,30,77,54937,54936,1,0,0,0,0,56,0,0,0,0,0,0,0
1,30,69,53164,53164,0,0,0,0,0,49,0,0,0,0,0,0,0
1,30,1,24740,24739,0,0,1,0,0,24,0,0,0,0,0,0,0
1,30,19,98412,98408,2,0,1,1,0,100,1,1,0,0,0,0,0
1,30,56,36265,36265,0,0,0,0,0,35,0,0,0,0,0,0,0
1,30,58,115660,115658,1,0,1,0,0,122,0,0,0,0,0,0,0
1,30,62,40037,40036,0,0,1,0,0,45,0,0,0,0,0,0,0
1,30,2,82653,82652,0,0,0,1,0,74,0,0,0,0,1,0,0
1,30,43,50039,50038,1,0,0,0,0,55,0,0,0,0,0,0,0
1,30,59,33823,33823,0,0,0,0,0,22,0,0,0,0,0,0,0
1,30,98,72150,72149,0,0,1,0,0,78,0,0,0,0,0,0,0
1,30,54,36576,36576,0,0,0,0,0,40,0,0,0,0,0,0,0
1,30,85,46823,46823,0,0,0,0,0,41,0,0,0,0,0,0,0
1,30,41,26270,26269,0,0,1,0,0,26,0,0,0,0,0,0,0
1,30,11,76428,76427,1,0,0,0,0,74,0,0,0,0,0,0,0
1,30,79,48294,48294,0,0,0,0,0,52,0,0,0,0,0,0,0
1,30,18,43527,43527,0,0,0,0,0,38,0,0,0,0,0,0,0
1,30,63,27270,27269,0,0,1,0,0,30,0,0,0,0,0,0,0
1,30,72,39023,39023,0,0,0,0,0,37,0,0,0,0,0,0,0
1,30,8,22374,22374,0,0,0,0,0,20,0,0,0,0,0,0,0
1,30,9,40113,40113,0,0,0,0,0,33,0,0,0,0,0,0,0
1,30,82,38543,38543,0,0,0,0,0,40,0,0,0,0,0,0,0
1,30,94,46129,46126,2,0,1,0,0,43,0,2,0,0,0,0,0
1,30,60,15059,15059,0,0,0,0,0,16,0,0,0,0,0,0,0
1,30,4,28646,28646,0,0,0,0,0,24,0,0,0,0,0,0,0
1,30,71,15467,15467,0,0,0,0,0,13,0,0,0,0,0,0,0
1,30,96,36605,36604,1,0,0,0,0,39,0,0,0,0,0,0,0
1,30,28,42641,42639,0,1,1,0,0,36,0,0,1,0,0,0,0
1,30,83,87544,87541,1,0,2,0,0,87,3,0,0,0,0,0,0
1,30,27,98056,98054,1,0,0,1,0,103,0,0,0,0,1,0,0
1,30,52,47337,47335,0,0,2,0,0,47,0,0,0,0,0,0,0
1,30,73,63127,63127,0,0,0,0,0,56,0,0,0,0,0,0,0
1,30,92,40127,40125,0,0,2,0,0,41,0,0,0,1,0,0,0
1,30,37,54083,54081,0,0,2,0,0,61,0,0,0,0,0,0,0
1,30,16,60228,60226,1,0,1,0,0,55,1,0,0,0,0,0,0
1,30,74,44868,44867,0,0,0,1,0,34,0,0,0,0,1,0,0
1,30,46,30030,30029,0,0,1,0,0,30,0,0,0,1,0,0,0
1,30,89,51920,51918,1,0,1,0,0,33,0,1,0,0,0,0,0
1,30,51,90058,90054,2,0,1,1,0,101,1,1,0,0,1,0,0
1,30,0,106345,106345,0,0,0,0,0,78,0,0,0,0,0,0,0
1,30,49,20462,20462,0,0,0,0,0,10,0,0,0,0,0,0,0
1,30,61,49772,49772,0,0,0,0,0,50,0,0,0,0,0,0,0
1,30,86,56810,56809,1,0,0,0,0,63,0,0,0,0,0,0,0
1,30,34,48555,48555,0,0,0,0,0,49,0,0,0,0,0,0,0
1,30,21,9539,9538,0,0,1,0,0,15,0,0,0,0,0,0,0
1,30,75,35676,35674,0,0,1,1,0,26,1,0,0,0,1,0,0
1,30,91,104970,104964,3,1,1,1,0,104,2,3,1,0,1,0,0
1,30,13,40511,40511,0,0,0,0,0,49,0,0,0,0,0,0,0
1,30,53,34064,34064,0,0,0,0,0,40,0,0,0,0,0,0,0
1,30,66,29095,29095,0,0,0,0,0,27,0,0,0,0,0,0,0
