ID1 ID2 cost weight weight2
6 15 0.233810 4.276971 18.292478
6 20 0.755449 1.323716 1.752223
6 19 0.599555 1.667902 2.781898
6 18 0.505218 1.979345 3.917806
6 16 0.362085 2.761780 7.627430
6 17 0.518168 1.929878 3.724428
7 9 0.199933 5.001679 25.016795
7 10 0.164249 6.088325 37.067702
7 14 0.291226 3.433755 11.790674
7 11 0.209381 4.775982 22.810001
7 8 0.157261 6.358875 40.435291
7 4 0.113836 8.784570 77.168665
7 1 0.250787 3.987450 15.899760
7 6 0.045598 21.931000 480.968778
7 2 0.152300 6.565968 43.111932
7 3 0.133328 7.500292 56.254375
7 5 0.068691 14.558031 211.936253
7 12 0.224878 4.446857 19.774539
7 13 0.294170 3.399399 11.555911
7 15 0.278534 3.590222 12.889695
7 20 0.800173 1.249729 1.561824
7 19 0.644279 1.552122 2.409081
7 18 0.549942 1.818375 3.306487
7 16 0.406809 2.458155 6.042524
7 17 0.562891 1.776541 3.156099
2 9 0.236637 4.225886 17.858116
2 10 0.267608 3.736811 13.963754
2 14 0.392567 2.547337 6.488927
2 11 0.296591 3.371649 11.368015
2 8 0.309294 3.233172 10.453399
2 4 0.047907 20.873920 435.720551
2 1 0.099803 10.019776 100.395905
2 6 0.165808 6.031074 36.373859
2 7 0.152300 6.565968 43.111932
2 3 0.019537 51.185638 2619.969560
2 5 0.096545 10.357917 107.286450
2 12 0.326218 3.065432 9.396870
2 13 0.395510 2.528380 6.392707
2 15 0.379875 2.632447 6.929776
2 20 0.901514 1.109246 1.230426
2 19 0.745620 1.341166 1.798726
2 18 0.651282 1.535433 2.357555
2 16 0.508150 1.967924 3.872725
2 17 0.664232 1.505498 2.266525
3 9 0.217664 4.594228 21.106932
3 10 0.248636 4.021951 16.176089
3 14 0.373594 2.676699 7.164719
3 11 0.277618 3.602066 12.974877
3 8 0.290321 3.444457 11.864286
3 4 0.028934 34.561005 1194.463096
3 1 0.118023 8.472919 71.790359
3 6 0.146836 6.810337 46.380692
3 7 0.133328 7.500292 56.254375
3 2 0.019537 51.185638 2619.969560
3 5 0.077572 12.891220 166.183542
3 12 0.307246 3.254721 10.593207
3 13 0.376538 2.655776 7.053146
3 15 0.360902 2.770832 7.677511
3 20 0.882541 1.133091 1.283896
3 19 0.726648 1.376183 1.893880
3 18 0.632310 1.581503 2.501153
3 16 0.489177 2.044248 4.178951
3 17 0.645260 1.549764 2.401768
5 9 0.147367 6.785774 46.046732
5 10 0.171767 5.821835 33.893763
5 14 0.297856 3.357331 11.271675
5 11 0.207321 4.823434 23.265513
5 8 0.225684 4.430975 19.633541
5 4 0.057950 17.256279 297.779174
5 1 0.195031 5.127394 26.290168
5 6 0.069967 14.292411 204.273008
5 7 0.068691 14.558031 211.936253
5 2 0.096545 10.357917 107.286450
5 3 0.077572 12.891220 166.183542
5 12 0.231507 4.319521 18.658259
5 13 0.300799 3.324480 11.052167
5 15 0.285164 3.506760 12.297363
5 20 0.806802 1.239461 1.536263
5 19 0.650909 1.536314 2.360260
5 18 0.556571 1.796716 3.228190
5 16 0.413438 2.418739 5.850301
5 17 0.569521 1.755862 3.083052
12 9 0.131898 7.581596 57.480603
12 10 0.103927 9.622145 92.585678
12 14 0.074540 13.415666 179.980082
12 11 0.047953 20.853585 434.871996
12 8 0.255568 3.912846 15.310363
12 4 0.287624 3.476764 12.087889
12 1 0.424705 2.354577 5.544034
12 6 0.180154 5.550807 30.811463
12 7 0.224878 4.446857 19.774539
12 2 0.326218 3.065432 9.396870
12 3 0.307246 3.254721 10.593207
12 5 0.231507 4.319521 18.658259
12 13 0.077483 12.906049 166.566106
12 15 0.065790 15.199795 231.033760
12 20 0.583487 1.713835 2.937232
12 19 0.427593 2.338674 5.469394
12 18 0.333255 3.000705 9.004233
12 16 0.190123 5.259764 27.665114
12 17 0.346205 2.888463 8.343220
13 9 0.196719 5.083381 25.840766
13 10 0.176820 5.655482 31.984481
13 14 0.012081 82.771665 6851.148445
13 11 0.112774 8.867253 78.628178
13 8 0.328461 3.044500 9.268983
13 4 0.356916 2.801783 7.849990
13 1 0.493996 2.024306 4.097815
13 6 0.249446 4.008888 16.071183
