ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
26,6,Bay.of.Plenty,236819,236790,7,6,10,6,1,7,3,3,1,0,233,4
26,7,Tairawhiti,48965,48948,3,1,7,6,0,3,1,2,1,0,66,4
26,17,Canterbury,562868,561932,124,177,300,335,2,124,130,95,55,1,859,4
26,18,South.Canterbury,60025,60012,1,4,3,5,0,1,3,2,1,0,51,4
26,11,MidCentral,178239,178117,14,29,43,36,1,14,23,16,7,0,232,4
26,5,Lakes,110040,110034,2,0,4,0,0,2,0,2,0,0,118,4
26,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,53,4
26,3,Counties.Manukau,557787,557034,101,136,242,274,3,101,96,82,42,0,749,4
26,1,Waitemata,622350,622271,14,11,27,27,0,14,7,10,3,0,710,4
26,12,Hutt.Valley,149270,149250,2,4,7,7,0,2,2,3,1,0,148,4
26,19,Southern,328230,328043,34,27,62,64,0,34,16,23,11,0,383,4
26,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,54,4
26,8,Taranaki,119640,119496,21,16,60,47,0,21,10,17,6,0,167,4
26,4,Waikato,417128,416753,63,69,127,116,2,63,51,41,25,0,510,4
26,0,Northland,178499,178392,13,15,35,44,1,13,11,11,6,0,202,4
26,16,West.Coast,32445,32432,1,1,7,4,0,1,1,4,0,0,30,4
26,13,Capital.and.Coast,316619,316404,39,38,66,72,1,39,26,23,23,0,359,4
26,9,Hawkes.Bay,165360,165248,9,17,38,48,0,9,15,16,6,0,193,4
26,15,Nelson.Marlborough,150280,150195,14,19,32,20,0,14,12,11,1,0,178,4
26,2,Auckland,538840,538481,48,60,125,126,0,48,43,48,28,0,666,4
27,3,Counties.Manukau,557786,556928,106,146,283,323,4,106,101,91,49,1,791,4
27,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,73,4
27,6,Bay.of.Plenty,236819,236785,5,9,11,9,1,5,7,4,3,0,268,4
27,16,West.Coast,32445,32430,2,1,7,5,0,2,1,1,1,0,37,4
27,4,Waikato,417128,416700,53,84,144,147,2,53,63,48,31,0,603,4
27,8,Taranaki,119640,119472,24,26,65,53,0,24,21,11,6,0,146,4
27,5,Lakes,110040,110034,0,2,0,4,0,0,2,0,4,0,115,4
27,7,Tairawhiti,48965,48938,10,3,7,7,0,10,3,1,1,0,72,4
27,0,Northland,178499,178374,18,21,33,53,1,18,13,7,9,0,186,4
27,18,South.Canterbury,60025,60010,2,2,5,6,0,2,1,3,1,0,73,4
27,1,Waitemata,622349,622260,11,20,24,34,1,11,14,5,7,1,664,4
27,17,Canterbury,562868,561793,139,181,353,402,2,139,124,120,67,0,896,4
27,19,Southern,328230,328018,25,41,72,74,0,25,34,20,10,0,381,4
27,9,Hawkes.Bay,165360,165234,14,16,38,58,0,14,9,10,10,0,215,4
27,2,Auckland,538840,538417,64,73,142,144,0,64,48,35,18,0,665,4
27,13,Capital.and.Coast,316618,316376,28,59,74,81,2,28,39,18,9,1,371,4
27,11,MidCentral,178239,178095,22,23,56,43,1,22,14,20,7,0,239,4
27,12,Hutt.Valley,149270,149247,3,3,8,9,0,3,2,3,2,0,140,4
27,15,Nelson.Marlborough,150280,150181,14,22,34,29,0,14,14,11,9,0,171,4
27,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,43,4
28,19,Southern,328229,327989,29,32,92,87,1,29,25,34,13,1,394,4
28,8,Taranaki,119640,119446,26,34,67,67,0,26,24,16,14,0,172,4
28,2,Auckland,538840,538352,65,84,169,170,0,65,64,53,26,0,695,4
28,0,Northland,178499,178364,10,22,44,59,1,10,18,17,6,0,243,4
28,11,MidCentral,178239,178071,24,33,58,53,1,24,22,12,10,0,252,4
28,15,Nelson.Marlborough,150280,150169,12,22,43,34,0,12,14,14,5,0,213,4
28,17,Canterbury,562868,561654,139,205,395,475,2,139,139,115,73,0,945,4
28,1,Waitemata,622349,622250,10,19,28,42,1,10,11,12,8,0,664,4
28,6,Bay.of.Plenty,236819,236778,7,10,10,14,1,7,5,4,5,0,248,4
28,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,46,4
28,18,South.Canterbury,60025,60006,4,3,3,9,0,4,2,1,3,0,52,4
28,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,66,4
28,4,Waikato,417128,416641,59,80,170,178,2,59,53,57,31,0,585,4
28,12,Hutt.Valley,149270,149246,1,3,11,9,0,1,3,3,0,0,158,4
28,7,Tairawhiti,48965,48936,2,10,10,7,0,2,10,3,0,0,53,4
28,16,West.Coast,32445,32427,3,3,6,6,0,3,2,0,1,0,40,4
28,5,Lakes,110040,110034,0,2,0,4,0,0,0,0,0,0,114,4
28,9,Hawkes.Bay,165360,165226,8,18,42,66,0,8,14,12,8,0,204,4
28,3,Counties.Manukau,557785,556803,125,166,307,384,5,125,106,86,61,1,851,4
28,13,Capital.and.Coast,316618,316340,36,46,98,98,2,36,28,41,17,0,428,4
29,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,36,4
29,17,Canterbury,562867,561526,128,210,454,549,3,128,139,134,74,1,964,4
29,1,Waitemata,622349,622244,6,13,42,44,1,6,10,16,2,0,632,4
29,15,Nelson.Marlborough,150280,150158,11,19,48,44,0,11,12,15,10,0,194,4
29,12,Hutt.Valley,149270,149242,4,2,11,11,0,4,1,2,2,0,147,4
29,18,South.Canterbury,60025,60002,4,6,4,9,0,4,4,1,0,0,39,4
29,9,Hawkes.Bay,165360,165214,12,14,47,73,0,12,8,12,7,0,210,4
29,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,69,4
29,4,Waikato,417128,416579,62,82,188,217,2,62,59,57,39,0,578,4
29,7,Tairawhiti,48965,48931,5,7,12,10,0,5,2,5,3,0,51,4
29,3,Counties.Manukau,557785,556702,101,171,371,440,5,101,125,120,56,0,880,4
29,19,Southern,328229,327955,34,43,96,101,1,34,29,18,14,0,439,4
29,11,MidCentral,178239,178052,19,33,73,62,1,19,24,24,9,0,252,4
29,2,Auckland,538840,538291,61,92,192,204,0,61,65,57,34,0,728,4
29,6,Bay.of.Plenty,236819,236777,1,11,14,16,1,1,7,6,2,0,240,4
29,0,Northland,178499,178352,12,17,50,68,1,12,10,15,9,0,232,4
29,16,West.Coast,32445,32423,4,3,7,8,0,4,3,3,2,0,48,4
29,13,Capital.and.Coast,316618,316306,34,49,111,118,2,34,36,33,20,0,371,4
29,8,Taranaki,119640,119425,21,35,76,83,0,21,26,25,16,0,187,4
29,5,Lakes,110040,110034,0,0,2,4,0,0,0,2,0,0,123,4
30,11,MidCentral,178239,178041,11,28,82,77,1,11,19,24,15,0,269,4
30,9,Hawkes.Bay,165360,165199,15,17,46,83,0,15,12,9,10,0,200,4
30,18,South.Canterbury,60025,59999,3,5,8,10,0,3,4,5,1,0,65,4
30,17,Canterbury,562867,561405,121,191,517,633,3,121,128,147,84,0,987,4
30,16,West.Coast,32445,32422,1,5,7,10,0,1,4,2,2,0,34,4
30,7,Tairawhiti,48965,48928,3,7,14,13,0,3,5,5,3,0,67,4
30,1,Waitemata,622348,622232,12,10,45,49,2,12,6,9,5,1,613,4
30,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,39,4
30,12,Hutt.Valley,149270,149240,2,5,11,12,0,2,4,1,1,0,155,4
30,4,Waikato,417126,416541,38,86,214,247,4,38,62,58,30,2,614,4
30,0,Northland,178499,178335,17,17,52,78,1,17,12,12,10,0,222,4
30,2,Auckland,538840,538240,51,93,207,249,0,51,61,60,45,0,697,4
30,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,67,4
30,8,Taranaki,119640,119407,18,35,83,97,0,18,21,21,14,0,221,4
30,3,Counties.Manukau,557785,556593,109,152,422,509,5,109,101,120,69,0,920,4
30,13,Capital.and.Coast,316618,316272,34,49,122,141,2,34,34,34,23,0,415,4
30,19,Southern,328229,327935,20,45,114,115,1,20,34,32,14,0,432,4
30,6,Bay.of.Plenty,236819,236774,3,3,21,18,1,3,1,9,2,0,256,4
30,5,Lakes,110040,110033,1,0,0,6,0,1,0,0,2,0,98,4
30,15,Nelson.Marlborough,150280,150145,13,16,54,52,0,13,11,14,8,0,201,4
31,12,Hutt.Valley,149270,149240,0,2,13,15,0,0,2,5,3,0,158,4
31,11,MidCentral,178238,178021,20,24,81,92,2,20,11,15,15,1,258,4
31,17,Canterbury,562865,561302,103,170,548,742,5,103,121,142,109,2,1110,4
31,16,West.Coast,32445,32421,1,3,8,12,0,1,1,3,2,0,31,4
31,1,Waitemata,622348,622223,9,15,42,59,2,9,12,7,10,0,658,4
31,8,Taranaki,119640,119390,17,35,83,115,0,17,18,18,18,0,208,4
31,0,Northland,178499,178325,10,21,60,83,1,10,17,13,5,0,231,4
31,10,Whanganui,64565,64565,0,0,0,0,0,0,0,0,0,0,63,4
31,19,Southern,328228,327904,31,39,116,138,2,31,20,26,23,1,451,4
31,5,Lakes,110040,110033,0,1,0,6,0,0,1,0,0,0,95,4
31,2,Auckland,538840,538191,49,91,215,294,0,49,51,53,45,0,769,4
31,7,Tairawhiti,48965,48923,5,4,18,15,0,5,3,6,2,0,67,4
31,18,South.Canterbury,60025,59997,2,4,11,11,0,2,3,4,1,0,69,4
31,3,Counties.Manukau,557785,556498,95,156,433,603,5,95,109,105,94,0,997,4
31,6,Bay.of.Plenty,236819,236769,5,3,21,21,1,5,3,3,3,0,258,4
31,4,Waikato,417126,416495,46,59,251,275,4,46,38,65,28,0,663,4
31,9,Hawkes.Bay,165360,165189,10,21,44,96,0,10,15,11,13,0,205,4
31,15,Nelson.Marlborough,150280,150130,15,20,44,71,0,15,13,9,19,0,171,4
31,14,Wairarapa,44845,44845,0,0,0,0,0,0,0,0,0,0,36,4
31,13,Capital.and.Coast,316616,316242,30,53,121,170,4,30,34,30,29,2,420,4
32,3,Counties.Manukau,557785,556405,93,148,462,677,5,93,95,103,74,0,971,4
32,6,Bay.of.Plenty,236819,236765,4,6,19,25,1,4,5,2,4,0,257,4
32,19,Southern,328228,327881,23,40,128,156,2,23,31,30,18,0,448,4
32,7,Tairawhiti,48965,48917,6,7,14,21,0,6,5,2,6,0,74,4
