ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
26,15,Nelson.Marlborough,150279,150103,19,29,58,70,1,19,18,18,7,0,204,4
26,0,Northland,178500,178423,10,17,21,29,0,10,11,2,2,0,205,4
26,19,Southern,328228,327858,45,59,137,129,2,45,41,42,17,0,444,4
26,16,West.Coast,32445,32442,0,1,2,0,0,0,0,1,0,0,27,4
26,4,Waikato,417127,416713,64,80,117,153,3,64,53,34,23,0,536,4
26,3,Counties.Manukau,557787,557302,68,90,161,166,3,68,61,54,24,0,730,4
26,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,37,4
26,7,Tairawhiti,48965,48896,10,7,27,25,0,10,7,10,5,0,73,4
26,9,Hawkes.Bay,165360,165303,6,9,19,23,0,6,7,6,2,0,180,4
26,6,Bay.of.Plenty,236820,236672,25,23,55,45,0,25,16,15,6,0,269,4
26,18,South.Canterbury,60025,60007,5,2,7,4,0,5,2,4,0,0,58,4
26,5,Lakes,110039,109840,19,42,61,77,1,19,34,19,16,0,179,4
26,11,MidCentral,178238,178034,26,35,60,83,2,26,27,17,11,0,211,4
26,13,Capital.and.Coast,316620,316340,57,56,100,67,0,57,49,31,17,0,409,4
26,12,Hutt.Valley,149270,149218,8,8,24,12,0,8,7,10,1,0,188,4
26,2,Auckland,538838,538276,103,90,188,181,2,103,65,58,37,0,709,4
26,17,Canterbury,562870,562355,80,92,158,185,0,80,68,49,26,0,674,4
26,10,Whanganui,64565,64535,2,5,16,7,0,2,3,7,1,0,83,4
26,1,Waitemata,622350,622151,21,51,61,66,0,21,33,24,12,0,651,4
26,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,108,4
27,5,Lakes,110039,109807,33,33,83,83,1,33,19,28,6,0,195,4
27,3,Counties.Manukau,557787,557225,77,101,190,194,3,77,68,57,28,0,717,4
27,13,Capital.and.Coast,316620,316298,42,70,131,79,0,42,57,43,12,0,443,4
27,19,Southern,328228,327801,57,67,156,147,2,57,45,37,18,0,476,4
27,16,West.Coast,32445,32442,0,0,3,0,0,0,0,1,0,0,33,4
27,17,Canterbury,562870,562291,64,110,188,217,0,64,80,62,32,0,704,4
27,4,Waikato,417127,416662,51,91,144,179,3,51,64,53,26,0,557,4
27,6,Bay.of.Plenty,236820,236646,26,31,61,56,0,26,25,17,11,0,293,4
27,18,South.Canterbury,60025,60006,1,6,7,5,0,1,5,1,1,0,64,4
27,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,41,4
27,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,125,4
27,12,Hutt.Valley,149270,149206,12,10,28,14,0,12,8,6,2,0,176,4
27,2,Auckland,538837,538206,70,126,216,219,3,70,103,67,38,1,720,4
27,7,Tairawhiti,48965,48885,11,12,27,30,0,11,10,5,5,0,76,4
27,15,Nelson.Marlborough,150279,150078,25,26,65,85,1,25,19,22,15,0,208,4
27,10,Whanganui,64565,64532,3,4,15,11,0,3,2,3,4,0,82,4
27,0,Northland,178500,178413,10,13,33,31,0,10,10,14,2,0,205,4
27,1,Waitemata,622350,622126,25,39,86,74,0,25,21,33,8,0,666,4
27,9,Hawkes.Bay,165360,165298,5,11,19,27,0,5,6,4,4,0,181,4
27,11,MidCentral,178238,178007,27,38,65,101,2,27,26,23,18,0,264,4
28,2,Auckland,538837,538122,84,116,251,264,3,84,70,80,45,0,789,4
28,15,Nelson.Marlborough,150279,150049,29,35,69,97,1,29,25,16,12,0,239,4
28,0,Northland,178500,178402,11,16,36,35,0,11,10,7,4,0,240,4
28,3,Counties.Manukau,557786,557140,85,113,206,242,4,85,77,65,48,1,713,4
28,19,Southern,328228,327746,55,83,173,171,2,55,57,41,24,0,466,4
28,1,Waitemata,622350,622106,20,38,101,85,0,20,25,26,11,0,691,4
28,16,West.Coast,32445,32442,0,0,3,0,0,0,0,0,0,0,31,4
28,10,Whanganui,64565,64525,7,4,16,13,0,7,3,3,2,0,72,4
28,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,40,4
28,7,Tairawhiti,48965,48878,7,14,33,33,0,7,11,9,3,0,87,4
28,5,Lakes,110039,109791,16,45,91,96,1,16,33,21,13,0,206,4
28,18,South.Canterbury,60025,60004,2,3,11,5,0,2,1,4,0,0,74,4
28,4,Waikato,417127,416608,54,84,179,202,3,54,51,58,23,0,559,4
28,13,Capital.and.Coast,316620,316240,58,63,151,108,0,58,42,49,29,0,481,4
28,17,Canterbury,562870,562213,78,101,223,255,0,78,64,73,38,0,785,4
28,6,Bay.of.Plenty,236820,236622,24,37,72,65,0,24,26,20,9,0,314,4
28,12,Hutt.Valley,149270,149199,7,17,23,24,0,7,12,5,10,0,162,4
28,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,120,4
28,11,MidCentral,178238,177988,19,37,83,111,2,19,27,28,10,0,266,4
28,9,Hawkes.Bay,165359,165290,8,8,22,31,1,8,5,8,4,1,167,4
29,1,Waitemata,622350,622076,30,27,112,105,0,30,20,31,20,0,730,4
29,6,Bay.of.Plenty,236820,236586,36,40,77,81,0,36,24,21,16,0,304,4
29,16,West.Coast,32445,32438,4,0,3,0,0,4,0,0,0,0,29,4
29,18,South.Canterbury,60025,60001,3,4,11,6,0,3,2,1,1,0,61,4
29,3,Counties.Manukau,557786,557067,73,124,241,281,4,73,85,74,39,0,786,4
29,19,Southern,328228,327677,69,87,192,203,2,69,55,51,32,0,512,4
29,17,Canterbury,562869,562139,74,115,240,301,1,74,78,64,46,1,795,4
29,5,Lakes,110037,109763,28,30,104,112,3,28,16,31,16,2,198,4
29,9,Hawkes.Bay,165359,165284,6,11,22,36,1,6,8,5,5,0,175,4
29,2,Auckland,538836,538038,84,118,281,315,4,84,84,82,51,1,788,4
29,7,Tairawhiti,48965,48869,9,11,32,44,0,9,7,10,11,0,84,4
29,4,Waikato,417127,416543,65,82,209,228,3,65,54,56,26,0,603,4
29,10,Whanganui,64565,64518,7,7,18,15,0,7,7,4,2,0,72,4
29,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,104,4
29,13,Capital.and.Coast,316619,316193,47,73,163,143,1,47,58,48,35,1,490,4
29,15,Nelson.Marlborough,150279,150029,20,42,81,107,1,20,29,22,10,0,243,4
29,11,MidCentral,178238,177971,17,30,90,130,2,17,19,26,19,0,231,4
29,12,Hutt.Valley,149270,149190,9,14,28,29,0,9,7,10,5,0,158,4
29,0,Northland,178500,178389,13,19,36,43,0,13,11,8,8,0,209,4
29,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,56,4
30,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,42,4
30,10,Whanganui,64565,64514,4,8,21,18,0,4,7,6,3,0,95,4
30,3,Counties.Manukau,557786,557005,62,119,275,325,4,62,73,78,44,0,786,4
30,17,Canterbury,562868,562075,64,116,259,354,2,64,74,73,53,1,801,4
30,1,Waitemata,622350,622045,31,40,108,126,0,31,30,17,21,0,739,4
30,6,Bay.of.Plenty,236820,236572,14,44,88,102,0,14,36,32,21,0,336,4
30,15,Nelson.Marlborough,150279,150011,18,33,95,122,1,18,20,29,15,0,223,4
30,19,Southern,328228,327615,62,94,220,237,2,62,69,62,34,0,515,4
30,12,Hutt.Valley,149270,149185,5,11,34,35,0,5,9,12,6,0,172,4
30,5,Lakes,110036,109734,29,41,99,133,4,29,28,17,21,1,215,4
30,4,Waikato,417126,416464,79,98,212,273,4,79,65,49,45,1,602,4
30,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,135,4
30,0,Northland,178500,178380,9,17,43,51,0,9,13,15,8,0,211,4
30,18,South.Canterbury,60025,59996,5,4,12,8,0,5,3,3,2,0,79,4
30,7,Tairawhiti,48964,48863,6,14,28,53,1,6,9,6,9,1,85,4
30,2,Auckland,538835,537959,79,123,297,377,5,79,84,79,62,1,832,4
30,13,Capital.and.Coast,316619,316159,34,71,184,171,1,34,47,49,28,0,458,4
30,9,Hawkes.Bay,165358,165279,5,10,23,41,2,5,6,7,5,1,204,4
30,11,MidCentral,178238,177948,23,25,95,147,2,23,17,22,17,0,235,4
30,16,West.Coast,32445,32438,0,4,2,1,0,0,4,0,1,0,35,4
31,12,Hutt.Valley,149270,149178,7,9,32,44,0,7,5,7,9,0,190,4
31,11,MidCentral,178238,177926,22,29,98,163,2,22,23,19,16,0,281,4
31,19,Southern,328228,327569,46,91,250,272,2,46,62,65,35,0,519,4
31,9,Hawkes.Bay,165358,165277,2,9,24,46,2,2,5,6,5,0,204,4
31,1,Waitemata,622350,622028,17,48,107,150,0,17,31,23,24,0,746,4
31,16,West.Coast,32445,32436,2,0,6,1,0,2,0,4,0,0,41,4
31,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,129,4
31,2,Auckland,538834,537893,66,114,329,432,6,66,79,88,55,1,852,4
31,18,South.Canterbury,60025,59994,2,5,14,10,0,2,5,4,2,0,70,4
31,7,Tairawhiti,48964,48857,6,10,28,63,1,6,6,10,10,0,77,4
31,5,Lakes,110036,109714,20,46,97,159,4,20,29,24,26,0,178,4
31,4,Waikato,417126,416421,43,110,236,316,4,43,79,67,43,0,649,4
31,17,Canterbury,562868,562024,51,100,297,396,2,51,64,80,42,0,830,4
31,15,Nelson.Marlborough,150278,149992,19,27,96,144,2,19,18,24,22,1,252,4
31,0,Northland,178500,178372,8,14,41,65,0,8,9,12,14,0,212,4
31,6,Bay.of.Plenty,236820,236551,21,35,95,118,0,21,14,23,16,0,290,4
31,10,Whanganui,64565,64512,2,8,20,23,0,2,4,4,5,0,83,4
31,13,Capital.and.Coast,316618,316127,32,56,191,212,2,32,34,49,41,1,500,4
31,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,45,4
31,3,Counties.Manukau,557786,556938,67,98,300,383,4,67,62,83,58,0,781,4
32,16,West.Coast,32445,32435,1,2,4,3,0,1,2,0,2,0,41,4
32,5,Lakes,110036,109682,32,34,108,180,4,32,20,32,21,0,223,4
32,0,Northland,178500,178370,2,12,42,74,0,2,8,10,9,0,222,4
32,4,Waikato,417126,416370,51,73,271,361,4,51,43,80,45,0,657,4
32,6,Bay.of.Plenty,236820,236540,11,35,91,143,0,11,21,21,25,0,281,4
32,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,120,4
32,18,South.Canterbury,60025,59992,2,4,11,16,0,2,2,3,6,0,73,4
32,10,Whanganui,64565,64507,5,6,20,27,0,5,2,4,4,0,91,4
32,15,Nelson.Marlborough,150278,149976,16,29,100,157,2,16,19,17,13,0,239,4
32,12,Hutt.Valley,149270,149174,4,10,34,48,0,4,7,6,4,0,190,4
32,3,Counties.Manukau,557786,556895,43,98,313,437,4,43,67,67,54,0,829,4
32,9,Hawkes.Bay,165358,165273,4,4,27,50,2,4,2,7,4,0,219,4
32,13,Capital.and.Coast,316618,316096,31,56,195,240,2,31,32,32,28,0,471,4
32,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,50,4
32,19,Southern,328228,327531,38,68,269,322,2,38,46,69,50,0,578,4
32,7,Tairawhiti,48964,48854,3,11,30,66,1,3,6,5,3,0,73,4
32,11,MidCentral,178238,177913,13,28,100,184,2,13,22,23,21,0,261,4
32,2,Auckland,538834,537824,69,103,340,498,6,69,66,77,66,0,851,4
32,1,Waitemata,622350,622010,18,34,115,173,0,18,17,31,23,0,712,4
32,17,Canterbury,562868,561968,56,87,302,455,2,56,51,64,59,0,793,4
33,5,Lakes,110036,109669,13,44,118,192,4,13,32,22,12,0,194,4
33,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,108,3
33,13,Capital.and.Coast,316618,316062,34,50,191,281,2,34,31,37,41,0,483,4
33,1,Waitemata,622350,621994,16,28,114,198,0,16,18,24,25,0,757,4
33,4,Waikato,417126,416334,36,73,270,413,4,36,51,51,52,0,644,4
33,3,Counties.Manukau,557786,556848,47,74,314,503,4,47,43,67,66,0,838,4
33,18,South.Canterbury,60025,59989,3,3,12,18,0,3,2,3,2,0,59,4
33,11,MidCentral,178238,177904,9,22,101,202,2,9,13,19,18,0,266,4
33,9,Hawkes.Bay,165358,165264,9,6,25,54,2,9,4,2,4,0,192,4
33,12,Hutt.Valley,149270,149169,5,5,34,57,0,5,4,9,9,0,157,4
33,2,Auckland,538833,537771,53,108,338,563,7,53,69,64,65,1,819,4
33,19,Southern,328228,327496,35,57,275,365,2,35,38,49,43,0,525,4
33,10,Whanganui,64565,64502,5,7,21,30,0,5,5,4,3,0,78,4
33,16,West.Coast,32445,32435,0,1,6,3,0,0,1,2,0,0,38,4
33,7,Tairawhiti,48964,48848,6,7,32,71,1,6,3,7,5,0,91,4
33,15,Nelson.Marlborough,150278,149948,28,29,105,168,2,28,16,16,11,0,242,4
33,6,Bay.of.Plenty,236820,236530,10,19,93,168,0,10,11,27,25,0,359,4
33,17,Canterbury,562868,561912,56,87,301,512,2,56,56,56,57,0,836,4
33,0,Northland,178500,178362,8,6,38,86,0,8,2,8,12,0,200,4
33,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,34,3
34,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,55,3
34,1,Waitemata,622349,621979,15,27,102,226,1,15,16,17,28,1,735,4
34,3,Counties.Manukau,557784,556796,52,68,304,564,6,52,47,53,61,2,873,4
34,7,Tairawhiti,48964,48843,5,10,29,77,1,5,6,3,6,0,60,4
34,6,Bay.of.Plenty,236820,236517,13,13,89,188,0,13,10,16,20,0,305,4
34,12,Hutt.Valley,149270,149166,3,6,30,65,0,3,5,4,8,0,164,4
34,9,Hawkes.Bay,165358,165261,3,10,23,61,2,3,9,5,7,0,187,4
34,19,Southern,328228,327456,40,57,251,424,2,40,35,35,59,0,561,4
34,2,Auckland,538833,537723,48,84,328,650,7,48,53,77,87,0,796,4
34,18,South.Canterbury,60025,59988,1,3,12,21,0,1,3,3,3,0,83,4
34,16,West.Coast,32445,32433,2,1,5,4,0,2,0,0,1,0,34,4
34,17,Canterbury,562868,561873,39,88,279,589,2,39,56,55,77,0,785,4
34,11,MidCentral,178236,177882,22,16,98,218,4,22,9,15,16,2,268,4
34,10,Whanganui,64565,64498,4,8,15,40,0,4,5,4,10,0,84,4
34,15,Nelson.Marlborough,150278,149938,10,40,106,184,2,10,28,17,16,0,258,4
34,0,Northland,178500,178356,6,10,35,93,0,6,8,4,7,0,211,4
34,4,Waikato,417125,416297,37,49,275,467,5,37,36,60,54,1,618,4
34,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,121,3
34,13,Capital.and.Coast,316618,316024,38,46,185,325,2,38,34,38,44,0,522,4
34,5,Lakes,110036,109648,21,24,127,216,4,21,13,33,24,0,245,4
35,13,Capital.and.Coast,316617,315990,34,57,188,348,3,34,38,27,23,1,500,4
35,11,MidCentral,178236,177865,17,28,89,237,4,17,22,10,19,0,252,4
35,14,Wairarapa,44845,44842,0,0,0,3,0,0,0,0,0,0,37,3
35,15,Nelson.Marlborough,150278,149920,18,22,109,209,2,18,10,28,25,0,265,4
35,1,Waitemata,622349,621959,20,26,90,254,1,20,15,16,28,0,681,4
35,10,Whanganui,64565,64496,2,5,21,41,0,2,4,7,1,0,84,4
35,0,Northland,178500,178353,3,11,36,97,0,3,6,5,4,0,206,4
35,5,Lakes,110036,109631,17,32,112,244,4,17,21,13,28,0,194,4
35,18,South.Canterbury,60025,59987,1,3,11,23,0,1,1,1,2,0,50,4
35,7,Tairawhiti,48964,48836,7,9,31,81,1,7,5,6,4,0,83,4
35,19,Southern,328228,327426,30,61,234,477,2,30,40,36,53,0,539,4
35,4,Waikato,417125,416255,42,51,257,520,5,42,37,35,53,0,649,4
35,2,Auckland,538832,537675,48,80,314,715,8,48,48,52,65,1,819,4
35,9,Hawkes.Bay,165358,165255,6,5,28,64,2,6,3,8,3,0,212,4
35,6,Bay.of.Plenty,236820,236507,10,16,84,203,0,10,13,10,15,0,293,4
35,12,Hutt.Valley,149270,149161,5,6,26,72,0,5,3,3,7,0,169,4
35,16,West.Coast,32445,32433,0,2,5,5,0,0,2,1,1,0,41,4
35,17,Canterbury,562868,561821,52,70,283,642,2,52,39,57,53,0,811,4
35,8,Taranaki,119640,119635,0,0,0,5,0,0,0,0,0,0,100,3
35,3,Counties.Manukau,557783,556756,40,76,285,626,7,40,52,44,62,1,823,4
36,5,Lakes,110036,109613,18,24,115,266,4,18,17,25,22,0,198,4
36,2,Auckland,538832,537627,48,77,290,790,8,48,48,51,75,0,819,4
36,17,Canterbury,562868,561772,49,74,267,706,2,49,52,48,64,0,830,4
36,0,Northland,178500,178349,4,6,34,107,0,4,3,8,10,0,205,4
36,4,Waikato,417123,416216,39,67,226,575,7,39,42,26,55,2,621,4
36,3,Counties.Manukau,557782,556711,45,70,272,684,8,45,40,46,58,1,809,4
