"","alert.level","global-max_NZ DHBs random cases","global-max_NZ TAs random cases","global-mean_NZ DHBs random cases","global-mean_NZ TAs random cases","local_NZ DHBs random cases","local_NZ TAs random cases","static_NZ DHBs random cases","static_NZ TAs random cases"
"1",1,0,0,4882641,4916118.5,1778236.83511474,2159644.73418841,0,0
"2",2,0,0,4882633.54444444,4916113.77777778,331249.399462907,199352.637459807,0,0
"3",3,0,4916135.7,4882632.75765306,4916114.73539519,341873.490639122,228967.731100666,0,0
"4",4,4882659.99289874,4916144.38179753,4882661.65992982,4916139.93626929,3074667.31858887,2651730.52701243,4882665.95,4916147.34942529
