ticks,who,name,pop.0,susceptible,exposed,presymptomatic,infected,recovered,dead,new.exposed,new.presymptomatic,new.infected,new.recovered,new.dead,new.tests,alert.level
28,9,Hawkes.Bay,165360,165280,7,14,30,29,0,7,10,12,2,0,184,4
28,6,Bay.of.Plenty,236820,236675,20,28,46,51,0,20,19,15,8,0,285,4
28,19,Southern,328229,328107,13,19,36,54,1,13,16,19,6,0,372,4
28,3,Counties.Manukau,557788,557209,83,102,183,211,2,83,68,62,31,1,730,4
28,17,Canterbury,562865,562190,101,130,224,220,5,101,93,66,35,1,752,4
28,5,Lakes,110040,109812,37,51,72,68,0,37,38,21,10,0,189,4
28,12,Hutt.Valley,149268,149084,29,31,60,64,2,29,20,27,7,0,199,4
28,4,Waikato,417129,416887,36,49,73,84,1,36,34,20,9,0,495,4
28,2,Auckland,538839,538381,61,90,151,156,1,61,68,51,27,1,639,4
28,7,Tairawhiti,48965,48962,0,1,1,1,0,0,0,0,0,0,43,4
28,0,Northland,178500,178494,2,0,3,1,0,2,0,1,1,0,182,4
28,13,Capital.and.Coast,316618,316327,54,56,100,81,2,54,36,30,19,0,405,4
28,11,MidCentral,178240,178078,21,30,58,53,0,21,19,22,6,0,252,4
28,18,South.Canterbury,60023,59857,22,27,48,69,2,22,22,19,10,0,119,4
28,15,Nelson.Marlborough,150280,150251,4,5,12,8,0,4,3,4,2,0,163,4
28,1,Waitemata,622349,622056,37,43,95,118,1,37,31,32,14,0,729,4
28,16,West.Coast,32445,32438,1,1,3,2,0,1,1,1,0,0,25,4
28,14,Wairarapa,44845,44826,3,5,3,8,0,3,3,1,0,0,57,4
28,10,Whanganui,64565,64522,3,11,11,18,0,3,8,4,3,0,72,4
28,8,Taranaki,119640,119422,31,39,62,86,0,31,26,24,15,0,180,4
29,3,Counties.Manukau,557787,557130,79,112,215,251,3,79,83,73,40,1,729,4
29,9,Hawkes.Bay,165360,165271,9,13,34,33,0,9,7,8,4,0,190,4
29,7,Tairawhiti,48965,48960,2,1,1,1,0,2,0,0,0,0,50,4
29,14,Wairarapa,44845,44824,2,5,5,9,0,2,3,3,1,0,52,4
29,6,Bay.of.Plenty,236820,236650,25,33,49,63,0,25,20,15,12,0,290,4
29,0,Northland,178500,178492,2,2,3,1,0,2,2,0,0,0,186,4
29,8,Taranaki,119640,119396,26,43,78,97,0,26,31,27,11,0,202,4
29,10,Whanganui,64564,64517,5,5,16,21,1,5,3,9,3,1,83,4
29,17,Canterbury,562865,562091,99,145,270,260,5,99,101,86,40,0,791,4
29,4,Waikato,417129,416848,39,54,93,95,1,39,36,31,11,0,494,4
29,16,West.Coast,32445,32437,1,1,3,3,0,1,1,1,1,0,43,4
29,13,Capital.and.Coast,316617,316286,41,68,123,99,3,41,54,42,18,1,461,4
29,12,Hutt.Valley,149268,149059,25,45,64,75,2,25,29,15,11,0,204,4
29,5,Lakes,110040,109779,33,52,88,88,0,33,37,36,20,0,193,4
